"","N1","N2","correl","cooc","int","euc","euctrim","coocpos","coocneg","intpos","intneg","euctrimpos","euctrimneg","shrd_rsc_pos","shrd_rsc_neg","repl","d"
"11","S1","S2",0.513218493589673,0,0,0.716262480742876,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"21","S1","S3",0,0,0,0.885137519257088,0.885137519257088,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"22","S2","S3",0,0,0,0.179871864084133,0.179871864084133,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"31","S1","S4",0.534891237910902,0,0,0.91309120624158,0.91309120624158,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"32","S2","S4",0.739710667512428,0.739710667512428,0,0.261009377981021,0.261009377981021,1,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"33","S3","S4",0,0,0.368406407002008,0.261440189699322,0.261440189699322,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"41","S1","S5",-0.535823441958312,0,0,0.924173979805863,0.924173979805863,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"42","S2","S5",-0.562317516041185,0,0.382122140692519,0.365293570724769,0.365293570724769,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"43","S3","S5",0,0,0,0.404659252273546,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"44","S4","S5",-0.639829485523031,0,0.395727509466421,0.146261770163599,0.146261770163599,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"51","S1","S6",0.136923076923077,0,-0.384444544134006,0.611515034110615,0,0,0,1,0,0,0,0,0,0,"HabSubsmpl_25"
"52","S2","S6",-0.423447601971677,0,0.219587914269341,0.372309121839086,0.372309121839086,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"53","S3","S6",0,0,0.240769977073746,0.437802616612982,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"54","S4","S6",-0.527145099557009,0,0.35973443514739,0.630432633595477,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"55","S5","S6",0.118865512254184,0,0.39611108041582,0.735805704694962,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"61","S1","S7",-0.41667244034013,0,0,0.819201595020121,0.819201595020121,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"62","S2","S7",-0.705128205128205,-0.705128205128205,0.262775885075917,0.103084978947002,0.103084978947002,0,1,0,1,1,0,0,0,0,"HabSubsmpl_25"
"63","S3","S7",0,0,0,0.0978643699542979,0.0978643699542979,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"64","S4","S7",-0.802325739185962,-0.802325739185962,0.410847260098051,0.200508175853457,0.200508175853457,0,1,0,1,1,0,0,0,0,"HabSubsmpl_25"
