,R1,R2,R3,repl,err,rsc_nms,Ridx
0,0.32139205875086463,0.11613280990694948,0.5624751313421859,0,0,S1,1
1,0.3856709464449062,0.5129542330520191,0.10137482050307467,0,0,S2,2
2,0.6952726406901013,0.06940368295072152,0.23532367635917717,0,0,S3,3
3,0.03230389702852036,0.6473939600620693,0.3203021429094103,0,0,S4,4
4,0.018359864748115795,0.5018843522606768,0.47975578299120736,0,0,S5,5
5,0.144530386838282,0.5832655087525499,0.2722041044091681,0,0,S6,6
6,0.30156604016382316,0.5769239562407569,0.12151000359541993,0,0,S7,7
7,0.496773767525843,0.43018686116883775,0.07303937130531923,0,0,S8,8
8,0.5440709036181806,0.0466810553632866,0.40924804101853285,0,0,S9,9
9,0.8841402694879773,0.02192754321695109,0.09393218729507158,0,0,S10,10
0,0.35934090204615327,0.6079592868101161,0.03269981114373066,1,0,S1,1
1,0.1265906087029144,0.38566434901997504,0.4877450422771106,1,0,S2,2
2,0.4900424791373169,0.3094367546792903,0.2005207661833928,1,0,S3,3
3,0.11399158287488209,0.019822718453962006,0.8661856986711559,1,0,S4,4
4,0.11020407331098314,0.22269344620130935,0.6671024804877075,1,0,S5,5
5,0.44129312639696594,0.13132026862540608,0.4273866049776279,1,0,S6,6
6,0.06732511694525511,0.27749207513967883,0.655182807915066,1,0,S7,7
7,0.34470089763409956,0.5917588872114967,0.06354021515440367,1,0,S8,8
8,0.24981448685239055,0.16109768371064548,0.589087829436964,1,0,S9,9
9,0.28457323203933227,0.4765341019932451,0.23889266596742265,1,0,S10,10
