"","R1","R2","R3","repl","err","n_nms","Ridx","d"
"8",0.25049438524432,0.2847324779704,0.271414555124659,0,0,"H8",8,"HabSubsmpl_25"
"14",0.695024946259143,0.266937762145898,0.38143749307279,0,0,"H14",14,"HabSubsmpl_25"
"18",0.346546132930408,0.511197450283809,0.236238058119437,0,0,"H18",18,"HabSubsmpl_25"
"9",0.047220841965702,0.191764281164857,0.268504285482411,0,0,"H9",9,"HabSubsmpl_25"
"5",0.244932250559953,0.189391568216567,0.244998042599648,0,0,"H5",5,"HabSubsmpl_25"
"7",0.290272508472593,0.29576957580709,0.137323776759095,0,0,"H7",7,"HabSubsmpl_25"
"11",0.281755558271643,0.396204077242898,0.356601166657445,0,0,"H11",11,"HabSubsmpl_25"
"2",0.438380323307082,0.316522108222158,0.460764024700547,0,0,"H2",2,"HabSubsmpl_25"
"10",0.347587358982415,0.213010678298128,0.221621855508429,0,0,"H10",10,"HabSubsmpl_25"
"21",0.177460550875457,0.348333928397094,0.384975607860791,0,0,"H21",21,"HabSubsmpl_25"
"16",0.324304881330709,0.324273723352755,0.190537970607168,0,0,"H16",16,"HabSubsmpl_25"
"24",0.136805234715308,0.149948978968654,0.360907504490647,0,0,"H24",24,"HabSubsmpl_25"
"20",0.231474602186239,0.230309224115086,0.331478305711575,0,0,"H20",20,"HabSubsmpl_25"
"13",0.0857787094357195,0.292701294059446,0.434010979201284,0,0,"H13",13,"HabSubsmpl_25"
"15",0.287027919191262,0.14325801024538,0.239590555633894,0,0,"H15",15,"HabSubsmpl_25"
"12",0.0679696968486802,0.108994633397343,0.136079744838142,0,0,"H12",12,"HabSubsmpl_25"
"23",0.141390157422931,0.144737933879555,0.197286090536748,0,0,"H23",23,"HabSubsmpl_25"
"19",0.25979437776856,0.0544026586240763,0.317342625491699,0,0,"H19",19,"HabSubsmpl_25"
"22",0.208316168509692,0.360506950149664,0.343367995061618,0,0,"H22",22,"HabSubsmpl_25"
"17",0.160263095040881,0.136909899300282,0.446214249334698,0,0,"H17",17,"HabSubsmpl_25"
"1",0.269171465792448,0.509173039941749,0.239325219866128,0,0,"H1",1,"HabSubsmpl_25"
"4",0.403816053497266,0.232000067866041,0.213671883334291,0,0,"H4",4,"HabSubsmpl_25"
"25",0.215654124455951,0.122360335989158,0.132417991451603,0,0,"H25",25,"HabSubsmpl_25"
"3",0.158639093326875,0.192706327292962,0.222745122065152,0,0,"H3",3,"HabSubsmpl_25"
"6",0.148870494781419,0.37906225056505,0.233889435559039,0,0,"H6",6,"HabSubsmpl_25"
"34",0.252236649083678,0.202043304212581,0.485085767523297,1,0,"H9",9,"HabSubsmpl_25"
"35",0.173610083991567,0.369687788448029,0.149592234240957,1,0,"H10",10,"HabSubsmpl_25"
"40",0.139316384843623,0.347845367831696,0.230772450622225,1,0,"H15",15,"HabSubsmpl_25"
"30",0.30449670892639,0.184639046868143,0.223031540915503,1,0,"H5",5,"HabSubsmpl_25"
"29",0.263363184168952,0.441377474826577,0.732137878862491,1,0,"H4",4,"HabSubsmpl_25"
"28",0.116630500612152,0.268762479461841,0.202233839173933,1,0,"H3",3,"HabSubsmpl_25"
"48",0.12230901119338,0.180933913944919,0.0977683036630338,1,0,"H23",23,"HabSubsmpl_25"
"32",0.201160796832938,0.163177907028038,0.166986246561232,1,0,"H7",7,"HabSubsmpl_25"
"36",0.0489545474870301,0.133588770624383,0.237515385726505,1,0,"H11",11,"HabSubsmpl_25"
"43",0.221982714098669,0.144673816503403,0.151821137687034,1,0,"H18",18,"HabSubsmpl_25"
"41",0.149158029220285,0.252852435129638,0.332828070179385,1,0,"H16",16,"HabSubsmpl_25"
"46",0.0756720761357025,0.193282560156756,0.219522593850639,1,0,"H21",21,"HabSubsmpl_25"
"38",0.222355083161316,0.135999210466144,0.236113305564979,1,0,"H13",13,"HabSubsmpl_25"
"39",0.165951963112636,0.228462909317504,0.153940892771967,1,0,"H14",14,"HabSubsmpl_25"
"45",0.238049868521421,0.221018711789735,0.154439064524271,1,0,"H20",20,"HabSubsmpl_25"
"49",0.329860258384919,0.342726764712303,0.229609053281359,1,0,"H24",24,"HabSubsmpl_25"
"31",0.123988394630583,0.474122551846565,0.323891180946223,1,0,"H6",6,"HabSubsmpl_25"
"37",0.169940993132324,0.245762352201321,0.424684506190942,1,0,"H12",12,"HabSubsmpl_25"
"27",0.324574589904383,0.181472171583196,0.132037287662573,1,0,"H2",2,"HabSubsmpl_25"
"42",0.222822620338396,0.196527793080651,0.45066233236747,1,0,"H17",17,"HabSubsmpl_25"
"33",0.177114642010349,0.272342972448516,0.150820052421086,1,0,"H8",8,"HabSubsmpl_25"
"44",0.266454651708722,0.201995460459498,0.345390038592551,1,0,"H19",19,"HabSubsmpl_25"
"47",0.138200365830674,0.245852490286702,0.169763542981927,1,0,"H22",22,"HabSubsmpl_25"
"26",0.131715399066377,0.187562469273195,0.212986644804467,1,0,"H1",1,"HabSubsmpl_25"
"50",0.288246307617412,0.277050253524714,0.419561923499727,1,0,"H25",25,"HabSubsmpl_25"
