"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","err","sp_nms","Ridx","d"
"8",0.278762630554902,0.28316356389406,0.268274244221181,0.275224218735053,0.268663722123468,0.277070698036413,0.258839680247977,0.28098312011218,0.278606158915182,0.261698264071463,0,0,"H8",8,"HabSubsmpl_25"
"14",0.341075685558996,0.284765066259106,0.453180258367238,0.361364861257567,0.433195048633648,0.3523049912763,0.577451148494981,0.313350802443525,0.341366057888603,0.53839600726849,0,0,"H14",14,"HabSubsmpl_25"
"18",0.480442706203322,0.496397887001941,0.352826424223022,0.36630736329307,0.29341128502868,0.432062293226104,0.333033326840825,0.491276910135793,0.472935040857621,0.33334486034951,0,0,"H18",18,"HabSubsmpl_25"
"9",0.16785094069019,0.189714260636318,0.172226399079948,0.214138803159626,0.212508067253597,0.186078727945527,0.116271547668145,0.177126962572279,0.171448984812363,0.136809660287501,0,0,"H9",9,"HabSubsmpl_25"
"5",0.199405588165362,0.193106197146623,0.228861871535949,0.220802560493035,0.238110596669429,0.208638119551035,0.240043012298148,0.195778407822511,0.20074844915617,0.237571830981775,0,0,"H5",5,"HabSubsmpl_25"
"7",0.293295034342757,0.290141278185219,0.234414940009948,0.220752133588756,0.18905693163218,0.263198704967861,0.251855855534357,0.293767042028024,0.288263650774251,0.242357842803323,0,0,"H7",7,"HabSubsmpl_25"
"11",0.376296194579975,0.391128695438537,0.34303499323363,0.366731573646336,0.345765202668092,0.371578395382779,0.310901763846406,0.383715047944063,0.37593057960418,0.320770329041748,0,0,"H11",11,"HabSubsmpl_25"
"2",0.338708924879142,0.325437086528126,0.411474884052593,0.395895170097639,0.438229322268999,0.36320886344755,0.433309698359527,0.33073433021469,0.342367497316799,0.429304511602778,0,0,"H2",2,"HabSubsmpl_25"
"10",0.236051627964669,0.217673100687951,0.261273358897667,0.229820485763698,0.247033349787241,0.234356714336821,0.303660962916798,0.227356061353278,0.235265855276097,0.289638917140032,0,0,"H10",10,"HabSubsmpl_25"
"21",0.319540043705556,0.344050420522483,0.304924563197355,0.349358778916714,0.336829911552004,0.330769840766131,0.245335047722001,0.330545738460132,0.322061504620416,0.266169587723512,0,0,"H21",21,"HabSubsmpl_25"
"16",0.322981909138508,0.319674718706812,0.274050362868662,0.261398369668066,0.235184959188341,0.297463326437004,0.290278773103654,0.323078717497865,0.318698337756476,0.281756278904296,0,0,"H16",16,"HabSubsmpl_25"
"24",0.149752916759181,0.156778734466983,0.22479138156078,0.247888642079463,0.287727818326168,0.190331438202475,0.194966217287966,0.150445686373894,0.156613235716446,0.209827587456134,0,0,"H24",24,"HabSubsmpl_25"
"20",0.231489284775744,0.23382687628408,0.2687002510334,0.277986222581658,0.297953429680457,0.250764217771082,0.256807412310539,0.231339283944441,0.234720363256059,0.2631258235362,0,0,"H20",20,"HabSubsmpl_25"
"13",0.258772972855292,0.290848391798912,0.276545553592998,0.339519388673993,0.343350568907016,0.290868381952359,0.192628626143983,0.272028913008022,0.264931134527737,0.224033677801605,0,0,"H13",13,"HabSubsmpl_25"
"15",0.168718059045715,0.151235990169101,0.227546538257901,0.202183361175294,0.237653290784678,0.183533031338115,0.262262955785191,0.159364094726862,0.170669332110158,0.252833512900741,0,0,"H15",15,"HabSubsmpl_25"
"12",0.102258895688471,0.108595240784726,0.105441758784248,0.117839043128958,0.118416060333894,0.108444511232962,0,0.104887736297627,0.103449999870077,0,0,0,"H12",12,"HabSubsmpl_25"
