"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","d"
"1",0,0.962307692307692,0,0,0,0.973846153846154,0,0.983076923076923,0.996153846153846,0,0,"HabSubsmpl_25"
"2",0.962307692307692,0,0,0,0,0.963846153846154,0,0.992307692307692,0.972307692307692,0,0,"HabSubsmpl_25"
"3",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"4",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"5",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"6",0.973846153846154,0.963846153846154,0,0,0,0,0,0.967692307692308,0.983076923076923,0,0,"HabSubsmpl_25"
"7",0,0,0,0,0,0,0,0,0,0.965384615384615,0,"HabSubsmpl_25"
"8",0.983076923076923,0.992307692307692,0,0,0,0.967692307692308,0,0,0.986923076923077,0,0,"HabSubsmpl_25"
"9",0.996153846153846,0.972307692307692,0,0,0,0.983076923076923,0,0.986923076923077,0,0,0,"HabSubsmpl_25"
"10",0,0,0,0,0,0,0.965384615384615,0,0,0,0,"HabSubsmpl_25"
"11",0,0,0.965384615384615,0.970769230769231,0,0,0,0,0,0,1,"HabSubsmpl_25"
"12",0,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"13",0.965384615384615,0,0,0.953076923076923,0,0,0.944615384615385,0,0.952307692307692,0.944615384615385,1,"HabSubsmpl_25"
"14",0.970769230769231,0,0.953076923076923,0,0,0,0.940769230769231,0,0,0,1,"HabSubsmpl_25"
"15",0,0,0,0,0,0.982307692307692,0,0,0,0,1,"HabSubsmpl_25"
"16",0,0,0,0,0.982307692307692,0,0,0.937692307692308,0,0,1,"HabSubsmpl_25"
"17",0,0,0.944615384615385,0.940769230769231,0,0,0,0,0,0,1,"HabSubsmpl_25"
"18",0,0,0,0,0,0.937692307692308,0,0,0,0,1,"HabSubsmpl_25"
"19",0,0,0.952307692307692,0,0,0,0,0,0,0.990769230769231,1,"HabSubsmpl_25"
"20",0,0,0.944615384615385,0,0,0,0,0,0.990769230769231,0,1,"HabSubsmpl_25"
