"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","d"
"S1",1,0.938461538461539,0.658461538461538,0.434615384615385,0.954615384615385,0.843846153846154,0.929230769230769,0.771538461538462,0.842307692307692,0.53,0,"HabSubsmpl_25"
"S2",0.938461538461539,1,0.49,0.35,0.993846153846154,0.69,0.898461538461538,0.589230769230769,0.698461538461539,0.428461538461538,0,"HabSubsmpl_25"
"S3",0.658461538461538,0.49,1,0.881538461538462,0.541538461538462,0.931538461538462,0.423846153846154,0.56,0.523846153846154,0.926153846153846,0,"HabSubsmpl_25"
"S4",0.434615384615385,0.35,0.881538461538462,1,0.403846153846154,0.719230769230769,0.122307692307692,0.142307692307692,0.129230769230769,0.990769230769231,0,"HabSubsmpl_25"
"S5",0.954615384615385,0.993846153846154,0.541538461538462,0.403846153846154,1,0.726923076923077,0.892307692307692,0.610769230769231,0.710769230769231,0.482307692307692,0,"HabSubsmpl_25"
"S6",0.843846153846154,0.69,0.931538461538462,0.719230769230769,0.726923076923077,1,0.686923076923077,0.755384615384615,0.743846153846154,0.793076923076923,0,"HabSubsmpl_25"
"S7",0.929230769230769,0.898461538461538,0.423846153846154,0.122307692307692,0.892307692307692,0.686923076923077,1,0.83,0.91,0.230769230769231,0,"HabSubsmpl_25"
"S8",0.771538461538462,0.589230769230769,0.56,0.142307692307692,0.610769230769231,0.755384615384615,0.83,1,0.977692307692308,0.256153846153846,0,"HabSubsmpl_25"
"S9",0.842307692307692,0.698461538461539,0.523846153846154,0.129230769230769,0.710769230769231,0.743846153846154,0.91,0.977692307692308,1,0.246923076923077,0,"HabSubsmpl_25"
"S10",0.53,0.428461538461538,0.926153846153846,0.990769230769231,0.482307692307692,0.793076923076923,0.230769230769231,0.256153846153846,0.246923076923077,1,0,"HabSubsmpl_25"
"S1.1",1,0.553076923076923,0.0907692307692308,0.953076923076923,0.693846153846154,0.926923076923077,0.722307692307692,0.465384615384615,0.979230769230769,0.855384615384616,1,"HabSubsmpl_25"
"S2.1",0.553076923076923,1,0.506153846153846,0.757692307692308,0.738461538461539,0.797692307692308,0.743846153846154,0.643846153846154,0.524615384615385,0.828461538461538,1,"HabSubsmpl_25"
"S3.1",0.0907692307692308,0.506153846153846,1,0.205384615384615,-0.0669230769230769,0.233076923076923,-0.0607692307692308,-0.23,-0.0323076923076923,0.147692307692308,1,"HabSubsmpl_25"
"S4.1",0.953076923076923,0.757692307692308,0.205384615384615,1,0.806923076923077,0.994615384615385,0.827692307692308,0.61,0.938461538461539,0.948461538461538,1,"HabSubsmpl_25"
"S5.1",0.693846153846154,0.738461538461539,-0.0669230769230769,0.806923076923077,1,0.835384615384615,0.996923076923077,0.945384615384615,0.77,0.933846153846154,1,"HabSubsmpl_25"
"S6.1",0.926923076923077,0.797692307692308,0.233076923076923,0.994615384615385,0.835384615384615,1,0.853076923076923,0.650769230769231,0.914615384615385,0.963076923076923,1,"HabSubsmpl_25"
"S7.1",0.722307692307692,0.743846153846154,-0.0607692307692308,0.827692307692308,0.996923076923077,0.853076923076923,1,0.933076923076923,0.795384615384615,0.945384615384615,1,"HabSubsmpl_25"
"S8.1",0.465384615384615,0.643846153846154,-0.23,0.61,0.945384615384615,0.650769230769231,0.933076923076923,1,0.573846153846154,0.795384615384615,1,"HabSubsmpl_25"
"S9.1",0.979230769230769,0.524615384615385,-0.0323076923076923,0.938461538461539,0.77,0.914615384615385,0.795384615384615,0.573846153846154,1,0.878461538461539,1,"HabSubsmpl_25"
"S10.1",0.855384615384616,0.828461538461538,0.147692307692308,0.948461538461538,0.933846153846154,0.963076923076923,0.945384615384615,0.795384615384615,0.878461538461539,1,1,"HabSubsmpl_25"
