"","R1","R2","R3","repl","d"
"1",0,0.952307692307692,0,0,"HabSubsmpl_25"
"2",0,0.993076923076923,0,0,"HabSubsmpl_25"
"3",0,0,0,0,"HabSubsmpl_25"
"4",0,0,0,0,"HabSubsmpl_25"
"5",0,0,0.889230769230769,0,"HabSubsmpl_25"
"6",0,0.944615384615385,0,0,"HabSubsmpl_25"
"7",0.924615384615385,0,0,0,"HabSubsmpl_25"
"8",0,0.987692307692308,0,0,"HabSubsmpl_25"
"9",0,0.96,0,0,"HabSubsmpl_25"
"10",0,0,0,0,"HabSubsmpl_25"
"11",0,0,0,1,"HabSubsmpl_25"
"12",0,0,0.982307692307692,1,"HabSubsmpl_25"
"13",0,0,0,1,"HabSubsmpl_25"
"14",0,0,0,1,"HabSubsmpl_25"
"15",0,0,0,1,"HabSubsmpl_25"
"16",0.855384615384616,0,0,1,"HabSubsmpl_25"
"17",0,0,0,1,"HabSubsmpl_25"
"18",0.968461538461539,0,0,1,"HabSubsmpl_25"
"19",0,0.854615384615385,0,1,"HabSubsmpl_25"
"20",0,0,0,1,"HabSubsmpl_25"
