"","R1","R2","R3","repl","d"
"1",0,0,0,0,"HabSubsmpl_25"
"2",0.891538461538462,0,0,0,"HabSubsmpl_25"
"3",0.913637254831051,0,0,0,"HabSubsmpl_25"
"4",0,0,0,0,"HabSubsmpl_25"
"5",0,0,0.957692307692308,0,"HabSubsmpl_25"
"6",0,0.736923076923077,0,0,"HabSubsmpl_25"
"7",0,0.807692307692308,0,0,"HabSubsmpl_25"
"8",0,0,0,0,"HabSubsmpl_25"
"9",0.910769230769231,0,0,0,"HabSubsmpl_25"
"10",0.846153846153846,0,0,0,"HabSubsmpl_25"
"11",0,0,0.752307692307692,1,"HabSubsmpl_25"
"12",0,0,0,1,"HabSubsmpl_25"
"13",0,0,0.849230769230769,1,"HabSubsmpl_25"
"14",0,0,0,1,"HabSubsmpl_25"
"15",0,0,0.716923076923077,1,"HabSubsmpl_25"
"16",0,0,0,1,"HabSubsmpl_25"
"17",0,0,0.995384615384615,1,"HabSubsmpl_25"
"18",0.882307692307692,0,0,1,"HabSubsmpl_25"
"19",0,0.888375936833055,0,1,"HabSubsmpl_25"
"20",0,0.847692307692308,0,1,"HabSubsmpl_25"
