"","N1","N2","correl","cooc","int","euc","euctrim","coocpos","coocneg","intpos","intneg","euctrimpos","euctrimneg","shrd_rsc_pos","shrd_rsc_neg","repl","d"
"11","S1","S2",0,0,0.467265723714032,0.143028744827621,0.143028744827621,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"21","S1","S3",0.0578271283909122,0,-0.13372693255063,0.367043595333988,0,0,0,1,0,0,0,0,0,0,"HabSubsmpl_25"
"22","S2","S3",0,0,0,0.46429818940172,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"31","S1","S4",0.54,0,0.276060511378479,0.502039214546651,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"32","S2","S4",0,0,0,0.404915179486178,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"33","S3","S4",0.409608826102295,0,0,0.862777608079857,0.862777608079857,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"41","S1","S5",0.341568935365671,0,0.482691643175213,0.132429832566471,0.132429832566471,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"42","S2","S5",0,0,0,0.129506257997814,0.129506257997814,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"43","S3","S5",0.734594577213933,0.734594577213933,0,0.343096328090855,0,1,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"44","S4","S5",0.42655259392555,0,-0.265179149832448,0.534226235174309,0,0,0,1,0,0,0,0,0,0,"HabSubsmpl_25"
"51","S1","S6",0.939230769230769,0.939230769230769,0,0.273390022606795,0.273390022606795,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"52","S2","S6",0,0,0.486224823328543,0.412944885160487,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"53","S3","S6",-0.23974163645399,0,0.442694851524354,0.232650276105153,0.232650276105153,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"54","S4","S6",0.433846153846154,0,0,0.758258026669991,0.758258026669991,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"55","S5","S6",0.0555662382891522,0,0.142218098545916,0.339442610125167,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"61","S1","S7",0.157692307692308,0,0,0.632038177406979,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"62","S2","S7",0,0,0.499217374264921,0.500216941089956,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"63","S3","S7",0.00120473184147734,0,0,0.95685329351444,0.95685329351444,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"64","S4","S7",0.499230769230769,0,0,0.240835957945077,0.240835957945077,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"65","S5","S7",0.0343203236491822,0,0.202010743055154,0.613830280349349,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"66","S6","S7",0.212307692307692,0,0,0.90482166969029,0.90482166969029,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"71","S1","S8",0.283076923076923,0,0.214053667712607,0.581084718414121,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"72","S2","S8",0,0,0.101611827745138,0.439562415247598,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
