"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","d"
"1",0,0,0.721687836487032,0,0,0.721687836487032,0,0,0,0,0,"HabSubsmpl_25"
"2",0,0,0,0,0,0,0.79,0,0.757692307692308,0,0,"HabSubsmpl_25"
"3",0.721687836487032,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"4",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"5",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"6",0.721687836487032,0,1,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"7",0,0.79,0,0,0,0,0,0,0.940769230769231,0,0,"HabSubsmpl_25"
"8",0,0,0,0,0,0,0,0,0,0.828236214590001,0,"HabSubsmpl_25"
"9",0,0.757692307692308,0,0,0,0,0.940769230769231,0,0,0,0,"HabSubsmpl_25"
"10",0,0,0,0,0,0,0,0.828236214590001,0,0,0,"HabSubsmpl_25"
"11",0,0.934670899033674,0.950290781315156,0,0,0.850649883092465,0.985358283788667,0,0,0,1,"HabSubsmpl_25"
"12",0.934670899033674,0,0.970955971028873,0,0,0.733552327937134,0.961723426137948,0,0,0,1,"HabSubsmpl_25"
"13",0.950290781315156,0.970955971028873,0,0,0,0.792270463289008,0.972307692307692,0,0,0,1,"HabSubsmpl_25"
"14",0,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"15",0,0,0,0,0,0,0,0,0.993076923076923,0.974615384615385,1,"HabSubsmpl_25"
"16",0.850649883092465,0.733552327937134,0.792270463289008,0,0,0,0.81047871017379,0,-0.713509209322276,0,1,"HabSubsmpl_25"
"17",0.985358283788667,0.961723426137948,0.972307692307692,0,0,0.81047871017379,0,0,0,0,1,"HabSubsmpl_25"
"18",0,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"19",0,0,0,0,0.993076923076923,-0.713509209322276,0,0,0,0.976153846153846,1,"HabSubsmpl_25"
"20",0,0,0,0,0.974615384615385,0,0,0,0.976153846153846,0,1,"HabSubsmpl_25"
