,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,repl,err,sp_nms,Ridx
0,0.0,0.24166136628620483,0.3295360528396615,0.2404757093307146,0.45864517776760494,0.0,0.4682777015879701,0.45964270998777434,0.0,0.11196356274128139,0,0,S1,1
1,0.24166136628620483,0.0,0.29900561490393474,0.0,0.0,0.41889668870477015,0.0,0.0,0.3449365239906409,0.2955972050625352,0,0,S2,2
2,0.3295360528396615,0.29900561490393474,0.0,0.0,0.0,0.0,0.0,-0.29438759774080836,0.0,0.0,0,0,S3,3
3,0.2404757093307146,0.0,0.0,0.0,0.35976499038351917,0.16454465583490144,0.2239185230283702,0.0,0.0,0.0,0,0,S4,4
4,0.45864517776760494,0.0,0.0,0.35976499038351917,0.0,0.0,0.0,0.0,0.4022921753525226,0.14011098816686973,0,0,S5,5
5,0.0,0.41889668870477015,0.0,0.16454465583490144,0.0,0.0,0.0,0.0,0.2181723455793368,-0.4578462240469299,0,0,S6,6
6,0.4682777015879701,0.0,0.0,0.2239185230283702,0.0,0.0,0.0,0.0,0.13223119299355945,0.0,0,0,S7,7
7,0.45964270998777434,0.0,-0.29438759774080836,0.0,0.0,0.0,0.0,0.0,-0.14365407369902147,-0.45833780931138524,0,0,S8,8
8,0.0,0.3449365239906409,0.0,0.0,0.4022921753525226,0.2181723455793368,0.13223119299355945,-0.14365407369902147,0.0,0.0,0,0,S9,9
9,0.11196356274128139,0.2955972050625352,0.0,0.0,0.14011098816686973,-0.4578462240469299,0.0,-0.45833780931138524,0.0,0.0,0,0,S10,10
0,0.0,0.0,0.21107268849252647,-0.3353313363884983,0.0,0.47504700483775864,0.0,0.46225880927424445,0.48366747715350933,0.0,1,0,S1,1
1,0.0,0.0,0.45634973214368213,0.21893272106467732,0.0,0.24065535434153396,0.0,0.2699765756923587,0.0,-0.3877711374492373,1,0,S2,2
2,0.21107268849252647,0.45634973214368213,0.0,0.0,0.0,0.0,0.12055148614447866,0.12304089565700203,0.4639903398715911,0.0,1,0,S3,3
3,-0.3353313363884983,0.21893272106467732,0.0,0.0,0.0,-0.3290209961272196,0.0,-0.385766467535406,0.0,0.0,1,0,S4,4
4,0.0,0.0,0.0,0.0,0.0,0.0,0.2193882062811975,0.11414281259285503,0.28302333917458944,0.0,1,0,S5,5
5,0.47504700483775864,0.24065535434153396,0.0,-0.3290209961272196,0.0,0.0,0.0,0.0,0.2836310713811592,0.2182494573583632,1,0,S6,6
6,0.0,0.0,0.12055148614447866,0.0,0.2193882062811975,0.0,0.0,0.0,0.0,0.4231691008362387,1,0,S7,7
7,0.46225880927424445,0.2699765756923587,0.12304089565700203,-0.385766467535406,0.11414281259285503,0.0,0.0,0.0,0.44927056627522055,0.0,1,0,S8,8
8,0.48366747715350933,0.0,0.4639903398715911,0.0,0.28302333917458944,0.2836310713811592,0.0,0.44927056627522055,0.0,0.0,1,0,S9,9
9,0.0,-0.3877711374492373,0.0,0.0,0.0,0.2182494573583632,0.4231691008362387,0.0,0.0,0.0,1,0,S10,10
