,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,repl,err,sp_nms,Ridx
0,0.0,0.3025293828491928,0.7403299689515968,0.4797943370577748,0.45671964219453154,0.1548644725877221,1.0012880332482075,0.9818312070843351,0.9160046412488658,0.6477027426722373,0,0,S1,1
1,0.3025293828491928,0.0,0.837694930439463,0.2588801350798936,0.5364240693400969,0.4558066865486335,1.0685559868542016,0.6905531998651911,0.9969697755236884,0.40279133500411624,0,0,S2,2
2,0.7403299689515968,0.837694930439463,0.0,0.7260682378793794,0.30304559891976873,0.707797428858087,0.26606997734143517,1.175855432366406,0.1768347481358223,0.808074895149888,0,0,S3,3
3,0.4797943370577748,0.2588801350798936,0.7260682378793794,0.0,0.4599182136449718,0.6083266042265801,0.9163000322908111,0.5354542760609672,0.8593410236214925,0.16858335175946199,0,0,S4,4
4,0.45671964219453154,0.5364240693400969,0.30304559891976873,0.4599182136449718,0.0,0.4626536618176394,0.5509371176839777,0.9647449874831102,0.47068171511092477,0.5788712996227405,0,0,S5,5
5,0.1548644725877221,0.4558066865486335,0.707797428858087,0.6083266042265801,0.4626536618176394,0.0,0.9738317174520952,1.1258541519740144,0.8841565584297136,0.7767028043357151,0,0,S6,6
6,1.0012880332482075,1.0685559868542016,0.26606997734143517,0.9163000322908111,0.5509371176839777,0.9738317174520952,0.0,1.2937566031470944,0.09189430301442192,0.960995613396474,0,0,S7,7
7,0.9818312070843351,0.6905531998651911,1.175855432366406,0.5354542760609672,0.9647449874831102,1.1258541519740144,1.2937566031470944,0.0,1.2644968804099141,0.38684897521446415,0,0,S8,8
8,0.9160046412488658,0.9969697755236884,0.1768347481358223,0.8593410236214925,0.47068171511092477,0.8841565584297136,0.09189430301442192,1.2644968804099141,0.0,0.917549452842028,0,0,S9,9
9,0.6477027426722373,0.40279133500411624,0.808074895149888,0.16858335175946199,0.5788712996227405,0.7767028043357151,0.960995613396474,0.38684897521446415,0.917549452842028,0.0,0,0,S10,10
0,0.0,0.7139652044019886,0.42432163992508826,0.4995893489433347,0.9976821381360058,0.7529112298638132,0.1611062893677704,0.7560852227115885,0.774988001615811,0.28198457007918315,1,0,S1,1
1,0.7139652044019886,0.0,0.3911378383397247,0.25183675851899856,0.2994572274965293,0.07388125796495455,0.6899637599208669,0.11030088161235851,0.159095756431665,0.49333563164210587,1,0,S2,2
2,0.42432163992508826,0.3911378383397247,0.0,0.1413134754356495,0.68893400795504,0.4563569927189807,0.33668688044494505,0.3840871358288031,0.38650152467713556,0.3664158472061441,1,0,S3,3
3,0.4995893489433347,0.25183675851899856,0.1413134754356495,0.0,0.5510116567483546,0.3153315453424798,0.4479238775540779,0.2615009041243484,0.275799383739598,0.3531659544785583,1,0,S4,4
4,0.9976821381360058,0.2994572274965293,0.68893400795504,0.5510116567483546,0.0,0.24596438817239907,0.986759163319831,0.325860900839672,0.35210421533337655,0.7496813550036459,1,0,S5,5
5,0.7529112298638132,0.07388125796495455,0.4563569927189807,0.3153315453424798,0.24596438817239907,0.0,0.7417550245660288,0.16907163773177952,0.21696016747184804,0.5141795104691606,1,0,S6,6
6,0.1611062893677704,0.6899637599208669,0.33668688044494505,0.4479238775540779,0.986759163319831,0.7417550245660288,0.0,0.7088654590698498,0.7181024366045478,0.36077504923094206,1,0,S7,7
7,0.7560852227115885,0.11030088161235851,0.3840871358288031,0.2615009041243484,0.325860900839672,0.16907163773177952,0.7088654590698498,0.0,0.048942668162355166,0.5644787680779187,1,0,S8,8
8,0.774988001615811,0.159095756431665,0.38650152467713556,0.275799383739598,0.35210421533337655,0.21696016747184804,0.7181024366045478,0.048942668162355166,0.0,0.596644248801354,1,0,S9,9
9,0.28198457007918315,0.49333563164210587,0.3664158472061441,0.3531659544785583,0.7496813550036459,0.5141795104691606,0.36077504923094206,0.5644787680779187,0.596644248801354,0.0,1,0,S10,10
