,R1,R2,R3,repl,err,n_nms,Ridx
0,0.30904958083151146,0.5088953587671521,0.1820550604013364,0,0,H1,1
1,0.2012535670734659,0.5146247860257238,0.2841216469008104,0,0,H2,2
2,0.1993868402141899,0.5027565046144677,0.2978566551713423,0,0,H3,3
3,0.6252425609323472,0.14711483706669812,0.22764260200095457,0,0,H4,4
4,0.27274379715120983,0.4266439751528035,0.3006122276959867,0,0,H5,5
5,0.4007342888197887,0.38463027190239507,0.21463543927781614,0,0,H6,6
6,0.37474272577265044,0.5325299561066307,0.09272731812071887,0,0,H7,7
7,0.2337524976668068,0.33321506993275285,0.4330324324004405,0,0,H8,8
8,0.4686960296012904,0.32462554539092336,0.20667842500778616,0,0,H9,9
9,0.38315384450141776,0.21395192153773285,0.4028942339608494,0,0,H10,10
10,0.3726949094311385,0.3285802697296387,0.2987248208392228,0,0,H11,11
11,0.2881282952147163,0.3084940670550225,0.40337763773026114,0,0,H12,12
12,0.104803824242349,0.6189074593576008,0.27628871640005026,0,0,H13,13
13,0.30516853178288267,0.39791016353153674,0.29692130468558064,0,0,H14,14
14,0.23031561004440285,0.3778526542924955,0.3918317356631017,0,0,H15,15
15,0.08100631265985613,0.4995590100510307,0.41943467728911316,0,0,H16,16
16,0.5140488116147658,0.2646820073348864,0.2212691810503478,0,0,H17,17
17,0.5069802597482401,0.2940360635378853,0.19898367671387462,0,0,H18,18
18,0.2699316916260768,0.299810931890329,0.4302573764835942,0,0,H19,19
19,0.2681640998877409,0.3546593825971115,0.37717651751514747,0,0,H20,20
20,0.32306093786583345,0.28368135941471556,0.39325770271945104,0,0,H21,21
21,0.3046174634392911,0.3502813773443411,0.3451011592163678,0,0,H22,22
22,0.28815664508769034,0.5303222138892351,0.18152114102307468,0,0,H23,23
23,0.22098885743787294,0.3490030462392453,0.4300080963228818,0,0,H24,24
24,0.24713564435029817,0.3840148000614946,0.36884955558820715,0,0,H25,25
0,0.43034869243806495,0.2774948107511425,0.29215649681079253,1,0,H1,1
1,0.4236863214709535,0.3105271137343178,0.2657865647947288,1,0,H2,2
2,0.16295429288135452,0.46308707578570923,0.37395863133293633,1,0,H3,3
3,0.42722483903489905,0.2828775274320438,0.28989763353305714,1,0,H4,4
4,0.1777893647097565,0.6049932788903444,0.21721735639989903,1,0,H5,5
5,0.31310922898581933,0.07503413028179697,0.6118566407323837,1,0,H6,6
6,0.24222625713317342,0.5290828331716205,0.2286909096952059,1,0,H7,7
7,0.2288102746983394,0.47567455077477383,0.2955151745268869,1,0,H8,8
8,0.38580432624305594,0.3158792474282508,0.2983164263286934,1,0,H9,9
9,0.23892136569114508,0.5155045616908853,0.24557407261796962,1,0,H10,10
10,0.4200715628055531,0.32438402657354587,0.2555444106209011,1,0,H11,11
11,0.3834453168988249,0.29925849049259434,0.31729619260858066,1,0,H12,12
12,0.4528214045032746,0.2474273376259144,0.299751257870811,1,0,H13,13
13,0.44349551141726185,0.24453341986785254,0.31197106871488567,1,0,H14,14
14,0.2915623548712608,0.1434935433782234,0.5649441017505157,1,0,H15,15
15,0.17613889323184143,0.4748354938006746,0.34902561296748397,1,0,H16,16
16,0.23302675014821053,0.2442707164418957,0.5227025334098939,1,0,H17,17
17,0.38746177779677055,0.22166949345727835,0.39086872874595113,1,0,H18,18
18,0.3561585477056259,0.27937202097913233,0.3644694313152419,1,0,H19,19
19,0.2847439845000205,0.3344085482809601,0.38084746721901946,1,0,H20,20
20,0.23598063906752367,0.5211202771671003,0.24289908376537597,1,0,H21,21
21,0.38412898473220625,0.24258661667759154,0.37328439859020235,1,0,H22,22
22,0.4167383989208767,0.39946008166365166,0.18380151941547157,1,0,H23,23
23,0.1723937630074059,0.6203497005332375,0.20725653645935668,1,0,H24,24
24,0.2879381362394724,0.3763650531712416,0.33569681058928597,1,0,H25,25
