"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","d"
"S1",1,0.139199539700844,0.571573528939221,NA,-0.162529071494282,0.336722908885283,0.225171562986325,-0.224049245598418,-0.355065997279528,-0.254711318698624,0,"HabSubsmpl_25"
"S2",0.139199539700844,1,0.639230769230769,NA,-0.692307692307692,0.713076923076923,0.88881651653855,-0.84402173510294,-0.767455294058083,-0.831690644312682,0,"HabSubsmpl_25"
"S3",0.571573528939221,0.639230769230769,1,NA,-0.0953846153846154,0.939230769230769,0.492893008695032,-0.315060263423604,-0.335449131036916,-0.523068184633908,0,"HabSubsmpl_25"
"S4",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,"HabSubsmpl_25"
"S5",-0.162529071494282,-0.692307692307692,-0.0953846153846154,NA,1,-0.0876923076923077,-0.798622177318583,0.949814029438807,0.939026753281093,0.772167686435402,0,"HabSubsmpl_25"
"S6",0.336722908885283,0.713076923076923,0.939230769230769,NA,-0.0876923076923077,1,0.471297180994477,-0.322010122175596,-0.272744763652722,-0.534891237910902,0,"HabSubsmpl_25"
"S7",0.225171562986325,0.88881651653855,0.492893008695032,NA,-0.798622177318583,0.471297180994477,1,-0.891404719737234,-0.871199271689771,-0.802325739185962,0,"HabSubsmpl_25"
"S8",-0.224049245598418,-0.84402173510294,-0.315060263423604,NA,0.949814029438807,-0.322010122175596,-0.891404719737234,1,0.965443840131312,0.863966101790679,0,"HabSubsmpl_25"
"S9",-0.355065997279528,-0.767455294058083,-0.335449131036916,NA,0.939026753281093,-0.272744763652722,-0.871199271689771,0.965443840131312,1,0.878744171444181,0,"HabSubsmpl_25"
"S10",-0.254711318698624,-0.831690644312682,-0.523068184633908,NA,0.772167686435402,-0.534891237910902,-0.802325739185962,0.863966101790679,0.878744171444181,1,0,"HabSubsmpl_25"
"S1.1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"HabSubsmpl_25"
"S2.1",NA,1,-0.253846153846154,0.298530388115189,-0.902075229346254,-0.315384615384615,-0.751061124405206,0.392742580321612,-0.362307692307692,NA,1,"HabSubsmpl_25"
"S3.1",NA,-0.253846153846154,1,-0.448914511663469,0.569240575759878,0.99,0.79923077066003,-0.587909138640941,0.982307692307692,NA,1,"HabSubsmpl_25"
"S4.1",NA,0.298530388115189,-0.448914511663469,1,-0.284604313227053,-0.505756129790349,-0.433636647015092,0.741621173786729,-0.507098845179173,NA,1,"HabSubsmpl_25"
"S5.1",NA,-0.902075229346254,0.569240575759878,-0.284604313227053,1,0.601124269210909,0.905373311351942,-0.445758460601231,0.633785613721722,NA,1,"HabSubsmpl_25"
"S6.1",NA,-0.315384615384615,0.99,-0.505756129790349,0.601124269210909,1,0.829288629923039,-0.603570652580146,0.992307692307692,NA,1,"HabSubsmpl_25"
"S7.1",NA,-0.751061124405206,0.79923077066003,-0.433636647015092,0.905373311351942,0.829288629923039,1,-0.597492392323075,0.847785774084892,NA,1,"HabSubsmpl_25"
"S8.1",NA,0.392742580321612,-0.587909138640941,0.741621173786729,-0.445758460601231,-0.603570652580146,-0.597492392323075,1,-0.637303144141511,NA,1,"HabSubsmpl_25"
"S9.1",NA,-0.362307692307692,0.982307692307692,-0.507098845179173,0.633785613721722,0.992307692307692,0.847785774084892,-0.637303144141511,1,NA,1,"HabSubsmpl_25"
"S10.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"HabSubsmpl_25"
