,R1,R2,R3,repl,err,rsc_nms,Ridx
0,0.23423160734632362,0.6608559555496358,0.10491243710404052,0,0,S1,1
1,0.09740884389392868,0.4081257302484113,0.49446542585765996,0,0,S2,2
2,0.03316356941695786,0.5231258123147623,0.44371061826827984,0,0,S3,3
3,0.5399495512546271,0.2199555916521423,0.24009485709323064,0,0,S4,4
4,0.7640548772555625,0.1196769025162907,0.11626822022814681,0,0,S5,5
5,0.07661812199413176,0.2936236626678204,0.6297582153380478,0,0,S6,6
6,0.1701076696185335,0.27967893177259384,0.5502133986088726,0,0,S7,7
7,0.34550131959202535,0.45344554179296936,0.2010531386150053,0,0,S8,8
8,0.82011720919894,0.0038757164257037097,0.17600707437535623,0,0,S9,9
9,0.4840981915223599,0.40741361504987217,0.10848819342776797,0,0,S10,10
0,0.25969798128223864,0.13479113753518318,0.6055108811825781,1,0,S1,1
1,0.6424009046073373,0.25760098072908477,0.09999811466357789,1,0,S2,2
2,0.4616438942370703,0.23214792711310805,0.30620817864982164,1,0,S3,3
3,0.4380631386519565,0.31987847832006655,0.242058383027977,1,0,S4,4
4,0.24207789931658075,0.1642589738884912,0.593663126794928,1,0,S5,5
5,0.21185468948463126,0.08449124742848246,0.7036540630868863,1,0,S6,6
6,0.0086247163756586,0.018874641764034417,0.9725006418603069,1,0,S7,7
7,0.12404235933070673,0.8458346165785746,0.030123024090718653,1,0,S8,8
8,0.2625979228291548,0.10566970193457392,0.6317323752362713,1,0,S9,9
9,0.2823826784232145,0.09889075213886267,0.6187265694379228,1,0,S10,10
