"","N1","N2","correl","cooc","int","euc","euctrim","coocpos","coocneg","intpos","intneg","euctrimpos","euctrimneg","shrd_rsc_pos","shrd_rsc_neg","repl","d"
"11","S1","S2",0,0,0.218432383427887,0.455103141799882,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"21","S1","S3",0.95,0.95,0,0.0621957093029907,0.0621957093029907,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"22","S2","S3",0,0,0.457775928208959,0.516317475632212,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"31","S1","S4",0.957692307692308,0.957692307692308,0,0.398995353655264,0,1,0,0,0,0,0,1,0,0,"HabSubsmpl_25"
"32","S2","S4",0,0,0,0.0903808347097575,0.0903808347097575,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"33","S3","S4",0.98,0.98,-0.271074536744957,0.461176686109746,0,1,0,1,0,0,0,1,0,0,"HabSubsmpl_25"
"41","S1","S5",0.868461538461539,0.868461538461539,0,0.183213325420392,0.183213325420392,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"42","S2","S5",0,0,0.212508641326067,0.27321814665106,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"43","S3","S5",0.843076923076923,0.843076923076923,0,0.243557492198956,0.243557492198956,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"44","S4","S5",0.776153846153846,0.776153846153846,0,0.226857345155865,0.226857345155865,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"51","S1","S6",0,0,0,0.458879747394175,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"52","S2","S6",0,0,0,0.0617753346122906,0.0617753346122906,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"53","S3","S6",0,0,0.327258368770776,0.518206962854594,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"54","S4","S6",0,0,0.463093957994611,0.14178837031411,0.14178837031411,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"55","S5","S6",0,0,0,0.27593278391059,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"61","S1","S7",0,0,0.483605030413977,0.152184042402573,0.152184042402573,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"62","S2","S7",0,0,0,0.606427980500229,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"63","S3","S7",0,0,0,0.0949420589158479,0.0949420589158479,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"64","S4","S7",0,0,0.124840904071267,0.546583596006018,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"65","S5","S7",0,0,0,0.335361044825855,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"66","S6","S7",0,0,0,0.611055221021647,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"71","S1","S8",0.253076923076923,0,0.255921016890924,0.660582800615304,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"72","S2","S8",0,0,0,1.10985577029596,1.10985577029596,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"73","S3","S8",0.289230769230769,0,0.115775728706521,0.598398886241506,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"74","S4","S8",0.149230769230769,0,0,1.05936237690984,1.05936237690984,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"75","S5","S8",0.662307692307692,0,-0.288984153150743,0.837307778048805,0.837307778048805,0,0,1,0,0,1,1,0,0,"HabSubsmpl_25"
"76","S6","S8",0,0,0,1.10356265046649,1.10356265046649,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"77","S7","S8",0,0,0,0.519015705856074,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"81","S1","S9",0,0,0.454376725706082,0.296611014185421,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"82","S2","S9",0,0,0.288866350651775,0.187614681460383,0.187614681460383,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"83","S3","S9",0,0,0,0.353335743281882,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
