"","R1","R2","R3","repl","err","n_nms","Ridx","d"
"6",0.23284519085449,0.174388798344848,0.114593253317255,0,0,"H6",6,"HabSubsmpl_25"
"24",0.373287950573637,0.172941749598854,0.0858826714759015,0,0,"H24",24,"HabSubsmpl_25"
"4",0.342957276136564,0.200439457766146,0.10503837453014,0,0,"H4",4,"HabSubsmpl_25"
"18",0.308151025911032,0.291709640524291,0.251149488112045,0,0,"H18",18,"HabSubsmpl_25"
"5",0.355528745524888,0.263944905706897,0.41997028175034,0,0,"H5",5,"HabSubsmpl_25"
"16",0.230950283295853,0.0742205878059904,0.23091171259995,0,0,"H16",16,"HabSubsmpl_25"
"21",0.210122171261516,0.384405245084794,0.57328298074122,0,0,"H21",21,"HabSubsmpl_25"
"9",0.280226607251125,0.338993136652761,0.397348780473944,0,0,"H9",9,"HabSubsmpl_25"
"15",0.138067557119681,0.193997232649311,0.259174667763024,0,0,"H15",15,"HabSubsmpl_25"
"17",0.424130898398756,0.467686636371808,0.0285343989432117,0,0,"H17",17,"HabSubsmpl_25"
"8",0.186338174545553,0.139744451004495,0.48303035660624,0,0,"H8",8,"HabSubsmpl_25"
"3",0.1808666137676,0.248827061380586,0.160517191188945,0,0,"H3",3,"HabSubsmpl_25"
"19",0.305016031612992,0.40013678619244,0.260060120719217,0,0,"H19",19,"HabSubsmpl_25"
"14",0.441042940895108,0.325990305899433,0.198793984850197,0,0,"H14",14,"HabSubsmpl_25"
"13",0.374583219307995,0.324856593848264,0.391105502812476,0,0,"H13",13,"HabSubsmpl_25"
"1",0.122050727094343,0.463173901931993,0.266792284773469,0,0,"H1",1,"HabSubsmpl_25"
"23",0.246036591475115,0.101850144731201,0.33036309112516,0,0,"H23",23,"HabSubsmpl_25"
"20",0.133372737336661,0.191138164990651,0.39445341717033,0,0,"H20",20,"HabSubsmpl_25"
"10",0.351267849508024,0.345107466441945,0.214061107344817,0,0,"H10",10,"HabSubsmpl_25"
"2",0.458115903252983,0.289184008545909,0.364492272422119,0,0,"H2",2,"HabSubsmpl_25"
"25",0.251214975369261,0.202784109552287,0.266466585321609,0,0,"H25",25,"HabSubsmpl_25"
"11",0.132660607651325,0.22698272026484,0.240107730244535,0,0,"H11",11,"HabSubsmpl_25"
"7",0.45254611452523,0.116585159768026,0.109505946712449,0,0,"H7",7,"HabSubsmpl_25"
"12",0.284002408274549,0.169073102814912,0.258237378181602,0,0,"H12",12,"HabSubsmpl_25"
"22",0.503066874432866,0.512939851406874,0.270324467302446,0,0,"H22",22,"HabSubsmpl_25"
"39",0.156359873796558,0.322150116153736,0.164900699118333,1,0,"H14",14,"HabSubsmpl_25"
"45",0.318492733118001,0.34342519123088,0.27361806505514,1,0,"H20",20,"HabSubsmpl_25"
"34",0.186515994884093,0.188672513150462,0.253048914754946,1,0,"H9",9,"HabSubsmpl_25"
"36",0.134216717782004,0.107541278324267,0.30081458195739,1,0,"H11",11,"HabSubsmpl_25"
"40",0.128236024086093,0.126918840125292,0.169056915954902,1,0,"H15",15,"HabSubsmpl_25"
"42",0.438509105799549,0.241841742072958,0.462775952201999,1,0,"H17",17,"HabSubsmpl_25"
"30",0.211775187596019,0.102913731279061,0.36983157118979,1,0,"H5",5,"HabSubsmpl_25"
"31",0.38643593854109,0.182878547336972,0.370800508137544,1,0,"H6",6,"HabSubsmpl_25"
"46",0.183062574284714,0.318788180407554,0.259445758937025,1,0,"H21",21,"HabSubsmpl_25"
"28",0.103012883230195,0.273345237191544,0.128763784470519,1,0,"H3",3,"HabSubsmpl_25"
"29",0.282685236562472,0.305742181874597,0.294211846802153,1,0,"H4",4,"HabSubsmpl_25"
"37",0.37695180459045,0.159880206403685,0.452621179191232,1,0,"H12",12,"HabSubsmpl_25"
"44",0.167678745440438,0.173966988764732,0.180952514795685,1,0,"H19",19,"HabSubsmpl_25"
"41",0.076496114225124,0.187466624563128,0.232518180386787,1,0,"H16",16,"HabSubsmpl_25"
"33",0.304814188082671,0.214273064828131,0.4198887446343,1,0,"H8",8,"HabSubsmpl_25"
"32",0.280361219250451,0.085221348488011,0.244074532719304,1,0,"H7",7,"HabSubsmpl_25"
"26",0.157916873599655,0.383102169556217,0.290490048114652,1,0,"H1",1,"HabSubsmpl_25"
"43",0.312535883162187,0.227728200089744,0.11311378990966,1,0,"H18",18,"HabSubsmpl_25"
"47",0.223286305731358,0.221601929583127,0.410140543109526,1,0,"H22",22,"HabSubsmpl_25"
"38",0.245632005268693,0.181003098832531,0.140140318388275,1,0,"H13",13,"HabSubsmpl_25"
"49",0.182400643657658,0.186764648487495,0.441523396902446,1,0,"H24",24,"HabSubsmpl_25"
"35",0.137854330692632,0.302822608307079,0.259680405519332,1,0,"H10",10,"HabSubsmpl_25"
"48",0.274814653160438,0.187393815147543,0.0467322647887526,1,0,"H23",23,"HabSubsmpl_25"
"27",0.22677599724129,0.273324330975006,0.166787010956448,1,0,"H2",2,"HabSubsmpl_25"
"50",0.183221430577077,0.270849987418166,0.440391720528173,1,0,"H25",25,"HabSubsmpl_25"
