,R1,R2,R3,repl,err,n_nms,Ridx
0,0.122050727094343,0.46317390193199326,0.266792284773469,0,0,H1,1
1,0.45811590325298296,0.28918400854590914,0.36449227242211946,0,0,H2,2
2,0.18086661376759974,0.2488270613805859,0.1605171911889452,0,0,H3,3
3,0.34295727613656407,0.2004394577661461,0.10503837453014023,0,0,H4,4
4,0.35552874552488795,0.2639449057068967,0.4199702817503396,0,0,H5,5
5,0.23284519085448963,0.17438879834484786,0.11459325331725469,0,0,H6,6
6,0.45254611452523,0.11658515976802648,0.10950594671244875,0,0,H7,7
7,0.1863381745455528,0.13974445100449476,0.48303035660623955,0,0,H8,8
8,0.2802266072511251,0.33899313665276115,0.3973487804739435,0,0,H9,9
9,0.3512678495080244,0.3451074664419449,0.21406110734481687,0,0,H10,10
10,0.1326606076513252,0.2269827202648397,0.24010773024453483,0,0,H11,11
11,0.28400240827454903,0.16907310281491195,0.258237378181602,0,0,H12,12
12,0.3745832193079952,0.32485659384826393,0.39110550281247586,0,0,H13,13
13,0.4410429408951079,0.3259903058994331,0.19879398485019692,0,0,H14,14
14,0.1380675571196807,0.19399723264931076,0.2591746677630236,0,0,H15,15
15,0.23095028329585307,0.07422058780599039,0.23091171259995044,0,0,H16,16
16,0.4241308983987562,0.46768663637180763,0.02853439894321166,0,0,H17,17
17,0.30815102591103233,0.29170964052429127,0.2511494881120454,0,0,H18,18
18,0.3050160316129915,0.4001367861924401,0.2600601207192167,0,0,H19,19
19,0.1333727373366612,0.19113816499065084,0.39445341717032967,0,0,H20,20
20,0.21012217126151625,0.384405245084794,0.5732829807412204,0,0,H21,21
21,0.5030668744328662,0.5129398514068737,0.2703244673024458,0,0,H22,22
22,0.24603659147511464,0.10185014473120131,0.3303630911251597,0,0,H23,23
23,0.3732879505736366,0.17294174959885367,0.08588267147590146,0,0,H24,24
24,0.25121497536926113,0.2027841095522865,0.2664665853216092,0,0,H25,25
0,0.15791687359965478,0.3831021695562168,0.2904900481146521,1,0,H1,1
1,0.22677599724128997,0.2733243309750061,0.16678701095644824,1,0,H2,2
2,0.10301288323019452,0.2733452371915443,0.12876378447051864,1,0,H3,3
3,0.28268523656247213,0.30574218187459723,0.2942118468021534,1,0,H4,4
4,0.2117751875960192,0.10291373127906138,0.36983157118978977,1,0,H5,5
5,0.38643593854109015,0.1828785473369723,0.3708005081375437,1,0,H6,6
6,0.2803612192504512,0.08522134848801097,0.24407453271930363,1,0,H7,7
7,0.3048141880826708,0.2142730648281306,0.41988874463429976,1,0,H8,8
8,0.18651599488409326,0.18867251315046213,0.25304891475494556,1,0,H9,9
9,0.13785433069263153,0.3028226083070786,0.2596804055193321,1,0,H10,10
10,0.1342167177820043,0.10754127832426705,0.30081458195739,1,0,H11,11
11,0.37695180459045,0.15988020640368494,0.45262117919123235,1,0,H12,12
12,0.24563200526869317,0.1810030988325314,0.14014031838827476,1,0,H13,13
13,0.15635987379655786,0.3221501161537356,0.16490069911833324,1,0,H14,14
14,0.1282360240860931,0.12691884012529164,0.16905691595490183,1,0,H15,15
15,0.07649611422512399,0.1874666245631281,0.23251818038678668,1,0,H16,16
16,0.43850910579954894,0.24184174207295842,0.4627759522019985,1,0,H17,17
17,0.31253588316218706,0.227728200089744,0.1131137899096595,1,0,H18,18
18,0.16767874544043784,0.1739669887647317,0.1809525147956853,1,0,H19,19
19,0.31849273311800114,0.3434251912308797,0.27361806505513975,1,0,H20,20
20,0.1830625742847142,0.31878818040755397,0.25944575893702504,1,0,H21,21
21,0.22328630573135846,0.22160192958312736,0.41014054310952625,1,0,H22,22
22,0.27481465316043774,0.18739381514754255,0.046732264788752594,1,0,H23,23
23,0.18240064365765815,0.1867646484874952,0.44152339690244596,1,0,H24,24
24,0.18322143057707715,0.27084998741816646,0.4403917205281726,1,0,H25,25
