,R1,R2,R3,repl,err,n_nms,Ridx
0,0.14324918334076728,0.5436205484071215,0.31313026825211127,0,0,H1,1
1,0.41205173930410965,0.26010617150410065,0.3278420891917896,0,0,H2,2
2,0.30644405937502345,0.4215901054564029,0.2719658351685737,0,0,H3,3
3,0.528899918706483,0.3091125930096102,0.16198748828390688,0,0,H4,4
4,0.3420374435251065,0.25392894925044107,0.40403360722445236,0,0,H5,5
5,0.4462112589821065,0.3341887585320978,0.21959998248579565,0,0,H6,6
6,0.6668454079995496,0.1717930525461797,0.16136153945427073,0,0,H7,7
7,0.23029932612002016,0.1727131489499472,0.5969875249300328,0,0,H8,8
8,0.27565933877662807,0.33346806292299386,0.390872598300378,0,0,H9,9
9,0.38582359022590307,0.37905718357909335,0.2351192261950036,0,0,H10,10
10,0.2211927863173183,0.37846155863558484,0.40034565504709685,0,0,H11,11
11,0.39926509495081436,0.23769160571260584,0.3630432993365798,0,0,H12,12
12,0.3434824888273915,0.29788454371535467,0.35863296745725376,0,0,H13,13
13,0.4566478625209623,0.33752445076982746,0.2058276867092102,0,0,H14,14
14,0.23352223090118182,0.3281195633645713,0.438358205734247,0,0,H15,15
15,0.430811017401609,0.1384499143648304,0.4307390682335605,0,0,H16,16
16,0.4608355595965517,0.508160649464399,0.031003790939049307,0,0,H17,17
17,0.3621002925340299,0.3427804462326825,0.2951192612332875,0,0,H18,18
18,0.3160090581454658,0.4145580422948526,0.2694328995596816,0,0,H19,19
19,0.18550675425708474,0.265852087241553,0.5486411585013622,0,0,H20,20
20,0.1799283272229396,0.3291675138733859,0.49090415890367456,0,0,H21,21
21,0.3910865857213643,0.39876188507400634,0.2101515292046294,0,0,H22,22
22,0.36275216234573565,0.15016611966113322,0.48708171799313116,0,0,H23,23
23,0.5905404914005947,0.2735933630722408,0.13586614552716447,0,0,H24,24
24,0.34868417156431086,0.2814625566876031,0.369853271748086,0,0,H25,25
0,0.18991599160793543,0.46073118571782173,0.34935282267424295,1,0,H1,1
1,0.3400514358581158,0.4098508322471042,0.2500977318947801,1,0,H2,2
2,0.20393667792365322,0.5411470667656926,0.2549162553106541,1,0,H3,3
3,0.3202726727615677,0.34639540060766677,0.33333192663076555,1,0,H4,4
4,0.309377426490111,0.15034426693247485,0.540278306577414,1,0,H5,5
5,0.4110517766453954,0.19452784872180912,0.39442037463279556,1,0,H6,6
6,0.4598670614021223,0.13978570646355443,0.4003472321343233,1,0,H7,7
7,0.32462404670576245,0.22819866044322246,0.44717729285101515,1,0,H8,8
8,0.29688774994638906,0.30032039847724784,0.40279185157636316,1,0,H9,9
9,0.19683427577574775,0.432382998018014,0.37078272620623826,1,0,H10,10
10,0.24737099368530252,0.1982062541901057,0.5544227521245917,1,0,H11,11
11,0.3809698208359212,0.16158440640707064,0.4574457727570082,1,0,H12,12
12,0.433385068445243,0.31935594178995097,0.2472589897648061,1,0,H13,13
13,0.24301721505885704,0.5006912717288954,0.2562915132122475,1,0,H14,14
14,0.30229246353278055,0.29918744848514295,0.3985200879820765,1,0,H15,15
15,0.15407664478270636,0.37759079417316954,0.4683325610441241,1,0,H16,16
16,0.3836049559602383,0.21156160633903068,0.40483343770073105,1,0,H17,17
17,0.47833863985916164,0.3485398104894551,0.17312154965138327,1,0,H18,18
18,0.32085592663392865,0.3328885795108111,0.34625549385526033,1,0,H19,19
19,0.3404387823934979,0.3670892356045622,0.2924719820019399,1,0,H20,20
20,0.24046159545905257,0.4187437807744712,0.3407946237664763,1,0,H21,21
21,0.261144784088928,0.25917481981318075,0.4796803960978913,1,0,H22,22
22,0.5399737833682188,0.36820360989248063,0.09182260673930047,1,0,H23,23
23,0.2249946818327307,0.2303777652392155,0.5446275529280539,1,0,H24,24
24,0.20483955423757305,0.3028073217922505,0.49235312397017633,1,0,H25,25
