"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","err","sp_nms","Ridx","d"
"11",0.162943229817744,0,0.68741701913104,0.795202435125529,0.219788870883354,0,0,0.0930596377975263,0,0.86158939458738,0,0,"H11",11,"HabSubsmpl_25"
"24",0.181220450730865,0,0.769619193490936,0.890213506426331,0.243551919631561,0,0,0.102565686745844,0,0.968681511305539,0,0,"H24",24,"HabSubsmpl_25"
"22",0.252588647566259,0,1.02456564032194,1.17418542380856,0.364541459130457,0,0,0.193326523243835,0,1.2367606813448,0,0,"H22",22,"HabSubsmpl_25"
"16",0.204927490376861,0,0.734154719587962,0.857715284847495,0.29008485465131,0,0,0.118138667225752,0,0.824256620216287,0,0,"H16",16,"HabSubsmpl_25"
"21",0.301194394183997,0,1.08023565810104,1.19152613672728,0.526712366113293,0,0,0.424288427685249,0,1.12531702779663,0,0,"H21",21,"HabSubsmpl_25"
"25",0.182148458094181,0,0.786650760163787,0.922510245780404,0.224246314703561,0,0,0.0551322159070916,0,1.01657936836659,0,0,"H25",25,"HabSubsmpl_25"
"3",0.105848460252457,0,0.438029119651604,0.488592085914168,0.170308384018048,0,0,0.126979201649296,0,0.519273697148628,0,0,"H3",3,"HabSubsmpl_25"
"5",0.291867552491132,0,1.1396536365079,1.31319302596726,0.419126544398803,0,0,0.206951542500474,0,1.34703383642797,0,0,"H5",5,"HabSubsmpl_25"
"4",0.235575235261893,0,1.04406193021935,1.15448722675403,0.383875296237952,0,0,0.312178778036901,0,1.28265344790989,0,0,"H4",4,"HabSubsmpl_25"
"1",0.192886670893728,0,0.84089817207806,0.939901265351693,0.301689926816684,0,0,0.220584712126518,0,1.03485160125132,0,0,"H1",1,"HabSubsmpl_25"
"9",0.168772748867811,0,0.783687885529436,0.847805424756644,0.297358354820183,0,0,0.28841078122976,0,0.966941568771932,0,0,"H9",9,"HabSubsmpl_25"
"14",0.256674502024398,0,0.933605425806175,1.05620575757288,0.409595577451747,0,0,0.266928988453858,0,1.01831125507291,0,0,"H14",14,"HabSubsmpl_25"
"17",0.175958622516761,0,0.733277584692842,0.811585480026655,0.291448557527157,0,0,0.23316948168645,0,0.865577679459534,0,0,"H17",17,"HabSubsmpl_25"
"7",0.224690715161503,0,0.912833641396574,1.04223392578631,0.329587462598595,0,0,0.185579074405315,0,1.09819596435694,0,0,"H7",7,"HabSubsmpl_25"
"23",0.32365604606904,0,1.19610199992547,1.3790565052603,0.47651759618195,0,0,0.241661586588004,0,1.35504112417073,0,0,"H23",23,"HabSubsmpl_25"
"15",0.172220617221116,0,0.7452245807667,0.80896133453084,0.304402788395873,0,0,0.282940071841278,0,0.882524291577882,0,0,"H15",15,"HabSubsmpl_25"
"8",0.229023846066525,0,0.941550612597757,1.04897092438531,0.371159758810292,0,0,0.279819156677286,0,1.10942250021446,0,0,"H8",8,"HabSubsmpl_25"
"20",0.288413761490591,0,1.15369803372747,1.30605571652617,0.442188241963312,0,0,0.281369250193487,0,1.35861910222759,0,0,"H20",20,"HabSubsmpl_25"
"6",0.195408504450169,0,0.780193354819462,0.810706366288415,0.403305138039843,0,0,0.448976505861043,0,0.82633461022127,0,0,"H6",6,"HabSubsmpl_25"
"12",0.217945118220516,0,0.800140486276785,0.872786991429243,0.392868367499575,0,0,0.340972283003342,0,0.838988142055804,0,0,"H12",12,"HabSubsmpl_25"
"2",0.235805940041466,0,0.976319052646865,1.14111621549701,0.305005846423839,0,0,0.0974033261806636,0,1.22331052006915,0,0,"H2",2,"HabSubsmpl_25"
"18",0.311037888272983,0,1.09542340155724,1.25236174154396,0.483451857994897,0,0,0.282207798242255,0,1.17722607383138,0,0,"H18",18,"HabSubsmpl_25"
"10",0.152107835295781,0,0.620277692969439,0.690055469160655,0.24860910259382,0,0,0.189804061212965,0,0.725383114242254,0,0,"H10",10,"HabSubsmpl_25"
"13",0.15889280887435,0,0.695664866484136,0.725188261113727,0.322838936273422,0,0,0.367851588205407,0,0.792611585068408,0,0,"H13",13,"HabSubsmpl_25"
"19",0.131161821916776,0,0.577114015136497,0.633969724814155,0.22022077841598,0,0,0.188940951941235,0,0.700479322793994,0,0,"H19",19,"HabSubsmpl_25"
"31",0.223213655775998,0,0,0.202642293089723,0.557945993493975,0.332935735023599,0.133774263815268,0.601109376496761,0.764332254313922,0.192481316662558,1,0,"H6",6,"HabSubsmpl_25"
"34",0.140916111398492,0,0.179809348441063,0.255718828134272,0.542172035085278,0.169369068262755,0.0825629743912143,0.573995212936855,0.86016246293497,0.130434988557217,1,0,"H9",9,"HabSubsmpl_25"
"49",0.126510612311265,0,0.0698147661006264,0.168763070408394,0.398537043868426,0.177739290241811,0.0882959683822818,0.434683769857056,0.603776355906855,0.113357795958741,1,0,"H24",24,"HabSubsmpl_25"
"33",0.193081831488134,0,0,0.177118949017798,0.503584667571918,0.309192967413259,0.163549212653381,0.560084040211871,0.711783669189544,0.179066952601368,1,0,"H8",8,"HabSubsmpl_25"
"43",0.249699099957515,0,0,0.142369360633006,0.466395046880593,0.304353711210025,0,0.368380230003197,0.449980362177454,0.216198905773864,1,0,"H18",18,"HabSubsmpl_25"
"47",0.135191531178315,0,0.00277270075839169,0.133383951999958,0.30748538168856,0.157998154014969,0,0.317311935009014,0.406443771754373,0.0843570563452824,1,0,"H22",22,"HabSubsmpl_25"
"46",0.102327303162448,0,0,0.0944152079927038,0.28096140268083,0.178804516397696,0.119931923219531,0.323240001967171,0.410411213278778,0.104334001703208,1,0,"H21",21,"HabSubsmpl_25"
"27",0.203347735125867,0,0,0.194059077130222,0.473446986273607,0.254776803269201,0.0201295946833661,0.488207107765226,0.623566979503668,0.139344555316816,1,0,"H2",2,"HabSubsmpl_25"
"42",0.109711866606604,0,0.0582405889376873,0.147116252134595,0.312756848588473,0.119193099428459,0.00166721225265475,0.320837258119781,0.451628493711139,0.0741740098053435,1,0,"H17",17,"HabSubsmpl_25"
"40",0.0802522166868209,0,0.0413250958396841,0.102526473446074,0.28088030968657,0.150460088963456,0.136447045428926,0.329252541184893,0.447428541447297,0.0967496677855178,1,0,"H15",15,"HabSubsmpl_25"
"30",0.179518932194312,0,0,0.152139749859321,0.371522556005464,0.205959377811629,0,0.361754301874125,0.454184879104163,0.120266720045222,1,0,"H5",5,"HabSubsmpl_25"
"48",0.112656937988734,0,0.0440415363493621,0.135015888554212,0.376346388649392,0.209772708795028,0.182079246245991,0.441730416417152,0.592227942384599,0.13162701149341,1,0,"H23",23,"HabSubsmpl_25"
"38",0.240411607689411,0,0,0.195848862913186,0.53594857978767,0.310656962827064,0.0256854936522326,0.513235608888517,0.650841882523611,0.188799554285143,1,0,"H13",13,"HabSubsmpl_25"
"39",0.256960411209478,0,0,0.19340632983944,0.553202613006519,0.327566115599282,0.00940566892487426,0.503311576029842,0.635817718736782,0.207532727543682,1,0,"H14",14,"HabSubsmpl_25"
"37",0.103988141565601,0,0.0485126892959365,0.127169640938283,0.38727057713389,0.22996949851379,0.250435727708671,0.473311640956803,0.634136676011185,0.147903144869151,1,0,"H12",12,"HabSubsmpl_25"
"28",0.164845593606036,0,0,0.125821090185995,0.360073767614964,0.213838300887272,0.0146915287572122,0.333157137712321,0.421177079203162,0.134567326177483,1,0,"H3",3,"HabSubsmpl_25"
"45",0.139974244024691,0,0.00399029627244962,0.134396173022603,0.382540200307758,0.234484023910091,0.145106709893489,0.436791826588421,0.558128502430095,0.135574288283758,1,0,"H20",20,"HabSubsmpl_25"
"35",0.0661230305089163,0,0.311684188317712,0.269406016062248,0.491083818437394,0.0369956489475986,0.0496534036429932,0.501734869965204,0.861837685055547,0.0848692940182943,1,0,"H10",10,"HabSubsmpl_25"
"50",0.183486557112876,0,0.0249657425797215,0.197831024692063,0.456756849032775,0.22244215800574,0.016813250199907,0.476426909014993,0.627185198146202,0.123067560539919,1,0,"H25",25,"HabSubsmpl_25"
"26",0.139486119733945,0,0.0560231437967843,0.172331441767853,0.417165796636548,0.199373972313657,0.0952362398118301,0.457058219759234,0.622484932170657,0.12246147455962,1,0,"H1",1,"HabSubsmpl_25"
"36",0.175055548376357,0,0.00599827394988344,0.174270743910617,0.427019807879524,0.229256502837471,0.0437895497489796,0.452828396439782,0.582652542112115,0.125867941231663,1,0,"H11",11,"HabSubsmpl_25"
"41",0.237204799378118,0,0.0176361845147788,0.245317653645603,0.554990766970407,0.274025021812834,0,0.575215989261667,0.746276603497415,0.147257829716044,1,0,"H16",16,"HabSubsmpl_25"
"44",0.0235049197447564,0,0.307522112554896,0.220327580466212,0.434321444988837,0.0420732062987065,0.169892067584765,0.479406401968537,0.827332454474069,0.09509061189629,1,0,"H19",19,"HabSubsmpl_25"
"29",0.161751705638644,0,0.253808287438053,0.326267643707681,0.652699882605045,0.162886100819175,0.0478970395929935,0.672848194133216,1.03997724578967,0.139319418934221,1,0,"H4",4,"HabSubsmpl_25"
"32",0.27178720522654,0,0.00580615239120958,0.267092745522152,0.598893070586122,0.306176225803987,0,0.622202932915925,0.792928868227188,0.162310630982263,1,0,"H7",7,"HabSubsmpl_25"
