"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","d"
"1",0,0.9,0,0,0.944615384615385,0,0,0,0,0,0,"HabSubsmpl_25"
"2",0.9,0,0,0,0.903076923076923,0,0,0,0,0,0,"HabSubsmpl_25"
"3",0,0,0,0.841538461538462,0,0,0.828329729664097,0.882307692307692,0,0.800778169534995,0,"HabSubsmpl_25"
"4",0,0,0.841538461538462,0,0.793076923076923,0.713846153846154,0,0.823076923076923,0,0,0,"HabSubsmpl_25"
"5",0.944615384615385,0.903076923076923,0,0.793076923076923,0,0,0,0.796153846153846,0,0,0,"HabSubsmpl_25"
"6",0,0,0,0.713846153846154,0,0,0,0,0,0,0,"HabSubsmpl_25"
"7",0,0,0.828329729664097,0,0,0,0,0.782910162702961,0,0.921951854614005,0,"HabSubsmpl_25"
"8",0,0,0.882307692307692,0.823076923076923,0.796153846153846,0,0.782910162702961,0,0,0,0,"HabSubsmpl_25"
"9",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"10",0,0,0.800778169534995,0,0,0,0.921951854614005,0,0,0,0,"HabSubsmpl_25"
"11",0,0,0,0.842085031926388,0.826153846153846,0,0,0.712117027790065,0,0,1,"HabSubsmpl_25"
"12",0,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"13",0,0,0,0,0,0,0,0,0.753846153846154,0,1,"HabSubsmpl_25"
"14",0.842085031926388,0,0,0,0.80361609488087,0,0,0.874147529684293,0,0,1,"HabSubsmpl_25"
"15",0.826153846153846,0,0,0.80361609488087,0,0,0.886153846153846,0,0.740769230769231,0,1,"HabSubsmpl_25"
"16",0,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"17",0,0,0,0,0.886153846153846,0,0,0,0.914615384615385,0,1,"HabSubsmpl_25"
"18",0.712117027790065,0,0,0.874147529684293,0,0,0,0,0,0,1,"HabSubsmpl_25"
"19",0,0,0.753846153846154,0,0.740769230769231,0,0.914615384615385,0,0,0,1,"HabSubsmpl_25"
"20",0,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
