"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","d"
"S1",1,0.9,0.350769230769231,0.600769230769231,0.944615384615385,0.363846153846154,0.188606676364037,0.675384615384615,-0.11322770341446,-0.0826260984958962,0,"HabSubsmpl_25"
"S2",0.9,1,0.247692307692308,0.645384615384615,0.903076923076923,0.657692307692308,-0.0538876218182962,0.506923076923077,-0.339683110243379,-0.249422708543687,0,"HabSubsmpl_25"
"S3",0.350769230769231,0.247692307692308,1,0.841538461538462,0.553846153846154,0.320769230769231,0.828329729664097,0.882307692307692,0.283069258536149,0.800778169534995,0,"HabSubsmpl_25"
"S4",0.600769230769231,0.645384615384615,0.841538461538462,1,0.793076923076923,0.713846153846154,0.466512840312679,0.823076923076923,0.0283069258536149,0.411586079423483,0,"HabSubsmpl_25"
"S5",0.944615384615385,0.903076923076923,0.553846153846154,0.793076923076923,1,0.517692307692308,0.317936968727948,0.796153846153846,-0.141534629268074,0.0996146421118749,0,"HabSubsmpl_25"
"S6",0.363846153846154,0.657692307692308,0.320769230769231,0.713846153846154,0.517692307692308,1,-0.186297206857538,0.253846153846154,-0.339683110243379,-0.128186283647839,0,"HabSubsmpl_25"
"S7",0.188606676364037,-0.0538876218182962,0.828329729664097,0.466512840312679,0.317936968727948,-0.186297206857538,1,0.782910162702961,0.339944706824502,0.921951854614005,0,"HabSubsmpl_25"
"S8",0.675384615384615,0.506923076923077,0.882307692307692,0.823076923076923,0.796153846153846,0.253846153846154,0.782910162702961,1,0.169841555121689,0.607726537535237,0,"HabSubsmpl_25"
"S9",-0.11322770341446,-0.339683110243379,0.283069258536149,0.0283069258536149,-0.141534629268074,-0.339683110243379,0.339944706824502,0.169841555121689,1,0.340997169735237,0,"HabSubsmpl_25"
"S10",-0.0826260984958962,-0.249422708543687,0.800778169534995,0.411586079423483,0.0996146421118749,-0.128186283647839,0.921951854614005,0.607726537535237,0.340997169735237,1,0,"HabSubsmpl_25"
"S1.1",1,-0.178138822750517,-0.240769230769231,0.842085031926388,0.826153846153846,0.294615384615385,0.64,0.712117027790065,0.349230769230769,0.28890171721184,1,"HabSubsmpl_25"
"S2.1",-0.178138822750517,1,0.0849836585598798,-0.469951957836685,-0.46904442320549,0.470678724331642,-0.218996350904306,-0.390785717966068,-0.323591622978004,-0.469951957836685,1,"HabSubsmpl_25"
"S3.1",-0.240769230769231,0.0849836585598798,1,-0.281592619173191,0.16,0.242307692307692,0.544615384615385,-0.66913443394303,0.753846153846154,0.344681675927841,1,"HabSubsmpl_25"
"S4.1",0.842085031926388,-0.469951957836685,-0.281592619173191,1,0.80361609488087,-0.165801118666182,0.549721110380451,0.874147529684293,0.381611855491538,0.597537514428626,1,"HabSubsmpl_25"
"S5.1",0.826153846153846,-0.46904442320549,0.16,0.80361609488087,1,0.223846153846154,0.886153846153846,0.497591289130089,0.740769230769231,0.549721110380451,1,"HabSubsmpl_25"
"S6.1",0.294615384615385,0.470678724331642,0.242307692307692,-0.165801118666182,0.223846153846154,1,0.376153846153846,-0.322175838565163,0.170769230769231,-0.48355453866216,1,"HabSubsmpl_25"
"S7.1",0.64,-0.218996350904306,0.544615384615385,0.549721110380451,0.886153846153846,0.376153846153846,1,0.13282008729309,0.914615384615385,0.561261791494107,1,"HabSubsmpl_25"
"S8.1",0.712117027790065,-0.390785717966068,-0.66913443394303,0.874147529684293,0.497591289130089,-0.322175838565163,0.13282008729309,1,-0.0635058143325561,0.35980640455326,1,"HabSubsmpl_25"
"S9.1",0.349230769230769,-0.323591622978004,0.753846153846154,0.381611855491538,0.740769230769231,0.170769230769231,0.914615384615385,-0.0635058143325561,1,0.690132730596592,1,"HabSubsmpl_25"
"S10.1",0.28890171721184,-0.469951957836685,0.344681675927841,0.597537514428626,0.549721110380451,-0.48355453866216,0.561261791494107,0.35980640455326,0.690132730596592,1,1,"HabSubsmpl_25"
