,R1,R2,R3,repl,err,rsc_nms,Ridx
0,0.15259413363054075,0.37542884982236835,0.47197701654709084,0,0,S1,1
1,0.12795305467842244,0.0666511990837858,0.8053957462377918,0,0,S2,2
2,0.1463521418114222,0.4221953641897098,0.431452493998868,0,0,S3,3
3,0.18515359342206128,0.07842940686247757,0.7364169997154612,0,0,S4,4
4,0.1288227999675977,0.2594092623531933,0.611767937679209,0,0,S5,5
5,0.07764746301757752,0.09498307795330618,0.8273694590291163,0,0,S6,6
6,0.17595693666411283,0.46943863032567756,0.3546044330102096,0,0,S7,7
7,0.07638779352018131,0.8759487837709188,0.047663422708899894,0,0,S8,8
8,0.07172103135934849,0.21816941499763454,0.710109553643017,0,0,S9,9
9,0.9618727420605668,0.01746682182558334,0.020660436113849823,0,0,S10,10
0,0.08640265176495698,0.39613012859025454,0.5174672196447885,1,0,S1,1
1,0.37756307365283726,0.5553819456776119,0.06705498066955078,1,0,S2,2
2,0.3398576328450248,0.03209061502048238,0.6280517521344928,1,0,S3,3
3,0.14770135962185427,0.27229838851316657,0.5800002518649792,1,0,S4,4
4,0.27737063422788155,0.4913309099587865,0.23129845581333197,1,0,S5,5
5,0.23253831196447766,0.6644355497326404,0.10302613830288188,1,0,S6,6
6,0.8080333532628625,0.17722451569189715,0.014742131045240359,1,0,S7,7
7,0.28400515888626177,0.25235266378776394,0.46364217732597435,1,0,S8,8
8,0.42310210380558533,0.05670019760018685,0.5201976985942278,1,0,S9,9
9,0.24106345069890245,0.6554372900577811,0.10349925924331645,1,0,S10,10
