"","R1","R2","R3","repl","d"
"1",0,0,0.828461538461538,0,"HabSubsmpl_25"
"2",0,0,0,0,"HabSubsmpl_25"
"3",0,0.968461538461539,0,0,"HabSubsmpl_25"
"4",0,0.750769230769231,0,0,"HabSubsmpl_25"
"5",0,0,0,0,"HabSubsmpl_25"
"6",0.983846153846154,0,0,0,"HabSubsmpl_25"
"7",0,0.907621516053875,0,0,"HabSubsmpl_25"
"8",0,0.870769230769231,0,0,"HabSubsmpl_25"
"9",0,0,0,0,"HabSubsmpl_25"
"10",0,0.887265300670886,0,0,"HabSubsmpl_25"
"11",0,0,0.849230769230769,1,"HabSubsmpl_25"
"12",0,0,0,1,"HabSubsmpl_25"
"13",0,0.933076923076923,0,1,"HabSubsmpl_25"
"14",0,0,0.999038295072101,1,"HabSubsmpl_25"
"15",0,0,0.813076923076923,1,"HabSubsmpl_25"
"16",0.853846153846154,0,0,1,"HabSubsmpl_25"
"17",0,0,0,1,"HabSubsmpl_25"
"18",0,0,0.869332641320661,1,"HabSubsmpl_25"
"19",0,0.821538461538462,0,1,"HabSubsmpl_25"
"20",0,0,0,1,"HabSubsmpl_25"
