,R1,R2,R3,repl,err,n_nms,Ridx
0,0.20230084494588574,0.328145771734078,0.35102144755198944,0,0,H1,1
1,0.20505889516574058,0.14691770502312612,0.11402294953813884,0,0,H2,2
2,0.2506380426762541,0.25006214973243535,0.25862201290016873,0,0,H3,3
3,0.2951676084738756,0.12246303315725765,0.12410321529794616,0,0,H4,4
4,0.42179488227800443,0.4071816180732739,0.3279608773461191,0,0,H5,5
5,0.3203078168784496,0.36543114891691175,0.19227254688177117,0,0,H6,6
6,0.1265834676186074,0.3158645074568612,0.363799436305962,0,0,H7,7
7,0.3017557494596282,0.2665342579697539,0.1676512743619308,0,0,H8,8
8,0.2065568329000338,0.34142821637510357,0.18918315474943254,0,0,H9,9
9,0.20034790905648378,0.2822332960766448,0.3475013597424339,0,0,H10,10
10,0.6560499626374285,0.25432759454324155,0.3403735433202757,0,0,H11,11
11,0.27653470827951354,0.2433929295989106,0.2011824928918195,0,0,H12,12
12,0.1807302503933442,0.15678966902529892,0.1069633513833524,0,0,H13,13
13,0.16092576563960048,0.33251421884604265,0.27559610194831047,0,0,H14,14
14,0.326761328041999,0.12465311689540501,0.25900735959237015,0,0,H15,15
15,0.30823221000977763,0.1859562994027417,0.26026216022030674,0,0,H16,16
16,0.45559701769550165,0.2284021145288327,0.3024337498966925,0,0,H17,17
17,0.3260412424832113,0.23311842025885884,0.20725475522065465,0,0,H18,18
18,0.3075508498727211,0.2767273699747387,0.21052756835118264,0,0,H19,19
19,0.3829874845063645,0.26750954826519496,0.07994166674205049,0,0,H20,20
20,0.38265180675514876,0.4239683465158801,0.23580603606867107,0,0,H21,21
21,0.27147161684678617,0.2321164039558342,0.1875296279425414,0,0,H22,22
22,0.19592642038935038,0.25724644087699683,0.31851542033116986,0,0,H23,23
23,0.43759933572108606,0.2545360366472087,0.2212826366765111,0,0,H24,24
24,0.37278084471072126,0.24537570817644477,0.2757469771250967,0,0,H25,25
0,0.15956565763205383,0.11152466011113829,0.4313020671202732,1,0,H1,1
1,0.16675566315005363,0.26401504357191674,0.18911207191236043,1,0,H2,2
2,0.31717239052023594,0.20294090239265278,0.4741326677668428,1,0,H3,3
3,0.20152228315357756,0.25079610462945623,0.21039673898132347,1,0,H4,4
4,0.20001447140361225,0.16352466628881823,0.16327780868168398,1,0,H5,5
5,0.13371856733309279,0.10744632547946717,0.14863458406255198,1,0,H6,6
6,0.26090815536393397,0.4979388410850223,0.2521803074779242,1,0,H7,7
7,0.21637014098028187,0.26021736812155133,0.3189900459355023,1,0,H8,8
8,0.31717632323158584,0.15119912862862617,0.15029076521834875,1,0,H9,9
9,0.2570405592448662,0.1221226139405797,0.09839833476226525,1,0,H10,10
10,0.1546883729291116,0.22605793458771606,0.27018421314087454,1,0,H11,11
11,0.2432307790782364,0.13424769048051838,0.3429488929333739,1,0,H12,12
12,0.2670720907653055,0.2356952939787936,0.16391139098126437,1,0,H13,13
13,0.21186068646745984,0.5154565428780377,0.20543409544333274,1,0,H14,14
14,0.1630483471720899,0.1622290747028609,0.27123771124422474,1,0,H15,15
15,0.2845151948065198,0.15961940016994103,0.0655019529820461,1,0,H16,16
16,0.26657832622048083,0.33568812573012047,0.2563783264418187,1,0,H17,17
17,0.2821750745468613,0.43840505464072604,0.28730205433807926,1,0,H18,18
18,0.3187772503318977,0.27042497714445796,0.12109634790424335,1,0,H19,19
19,0.08895864723972836,0.4128019446777905,0.24976122985763902,1,0,H20,20
20,0.20367268445151973,0.2837967530681787,0.14087131872780304,1,0,H21,21
21,0.10722386411871405,0.11639629855637199,0.3757600141346081,1,0,H22,22
22,0.16896354087045806,0.20327882984306614,0.47046946218234476,1,0,H23,23
23,0.14637442868205106,0.3381808726802402,0.17568592490031695,1,0,H24,24
24,0.3199368793575447,0.25584952157439594,0.07526429842345767,1,0,H25,25
