,x_coord,y_coord,z_coord,repl,err,n_nms,Ridx
0,0.0906208970985144,0.5065337033757107,0.41332906048118234,0,0,H1,1
1,0.9682337478138826,0.8925677065030359,0.9444766195749472,0,0,H2,2
2,0.9284755267563365,0.7992885851233139,0.5797299784390019,0,0,H3,3
3,0.2205094041065735,0.7458542593486158,0.7586823497896781,0,0,H4,4
4,0.007823456563760156,0.2510793713770517,0.30474883465185953,0,0,H5,5
5,0.4374841089610245,0.30035844647177623,0.9024381135757548,0,0,H6,6
6,0.15491484575045178,0.08976630256100027,0.9647617857766957,0,0,H7,7
7,0.4101416910094793,0.9641127755698029,0.826602275970014,0,0,H8,8
8,0.11543576989943505,0.6408265452010716,0.6180248870333734,0,0,H9,9
9,0.29812745331560386,0.4066081864307419,0.8813040608415486,0,0,H10,10
10,0.1768841418283943,0.1903050582131416,0.30862245815082157,0,0,H11,11
11,0.8415893770807271,0.15368839770301657,0.6818607089529035,0,0,H12,12
12,0.41671996422196,0.5765717076946025,0.9500456398646743,0,0,H13,13
13,0.020467698429897818,0.19218355785993346,0.26640562666717904,0,0,H14,14
14,0.3738213820296743,0.1703397611736448,0.5803360151221183,0,0,H15,15
15,0.6872618958784701,0.6255001162815047,0.2715627602542994,0,0,H16,16
16,0.0018889621811079005,0.9287963942703377,0.6640978609766898,0,0,H17,17
17,0.5560973841050643,0.5908183468329038,0.3589320599848098,0,0,H18,18
18,0.8769155267245617,0.7697421671123622,0.20665141781165453,0,0,H19,19
19,0.3043106265827267,0.5445652078288016,0.14890207785149734,0,0,H20,20
20,0.6175551226339988,0.4590191759444989,0.09854792503287324,0,0,H21,21
21,0.7016440925845798,0.8657316433489924,0.061951351434750945,0,0,H22,22
22,0.6119397019173737,0.7105772928802654,0.24773887635715697,0,0,H23,23
23,0.05896289890690465,0.4587994393329057,0.13042665817235566,0,0,H24,24
24,0.3773160986842662,0.07668439214346556,0.7361133367215023,0,0,H25,25
0,0.31830530693427195,0.9823372937354914,0.40643815666102223,1,0,H1,1
1,0.8304025592155353,0.053147229326405476,0.42734296440005926,1,0,H2,2
2,0.0960959361633722,0.31308773398393464,0.6897532072701208,1,0,H3,3
3,0.7964529331328761,0.6216075523328216,0.12240956309702622,1,0,H4,4
4,0.05992866012340514,0.32515141472350495,0.9454980988123747,1,0,H5,5
5,0.1078198285271127,0.021934217094147,0.896967316462104,1,0,H6,6
6,0.4187268034679079,0.16985125581504879,0.5509065264959191,1,0,H7,7
7,0.7145290964745106,0.35973340168311707,0.4175768871762191,1,0,H8,8
8,0.37346035223476426,0.14950926479460258,0.5540648986184464,1,0,H9,9
9,0.41101744969013687,0.9170455910722142,0.7070779979069247,1,0,H10,10
10,0.2346244567705167,0.4270469602604333,0.5968415701030884,1,0,H11,11
11,0.2569137858740017,0.575756011299258,0.659716086899168,1,0,H12,12
12,0.02852604207624021,0.6457613037493898,0.615282354968891,1,0,H13,13
13,0.024081729487458015,0.6987210937198051,0.4621134987581119,1,0,H14,14
14,0.8130676599962338,0.8366043774433531,0.99631267230271,1,0,H15,15
15,0.6521291416635442,0.18847185076633943,0.9609644266376091,1,0,H16,16
16,0.709168945234454,0.08445744103573805,0.5415572880966188,1,0,H17,17
17,0.7725445194857079,0.85378983674949,0.0482910650301962,1,0,H18,18
18,0.25326171194914715,0.22519419066306345,0.9625443025007354,1,0,H19,19
19,0.9160355526613747,0.6650337660981049,0.6274130760089783,1,0,H20,20
20,0.43845644159816166,0.5616004300599091,0.057379156534494324,1,0,H21,21
21,0.1851211346904057,0.6102178424366185,0.4110113949282005,1,0,H22,22
22,0.6098700576405345,0.2999990632108003,0.19154900818665843,1,0,H23,23
23,0.20549906181480504,0.43042111485320733,0.3134494632904986,1,0,H24,24
24,0.48953642133302333,0.7459978687696404,0.973411192542117,1,0,H25,25
