,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,repl,err,sp_nms,Ridx
0,0.0,0.23697824855097505,0.0,0.4727228917292856,0.17888810554124535,0.0,0.3380124701779342,-0.42460203274193165,0.33436041480236733,0.40010723363634826,0,0,S1,1
1,0.23697824855097505,0.0,0.0,0.4174960456982886,0.0,0.46683658612178636,-0.4536177730062586,0.0,-0.25670938441036273,0.0,0,0,S2,2
2,0.0,0.0,0.0,0.0,0.0,0.34710997301185587,0.47152906789495475,0.0,0.0,0.2518773382024456,0,0,S3,3
3,0.4727228917292856,0.4174960456982886,0.0,0.0,-0.37255606615044057,0.30020795788043486,0.12072985483889553,0.0,0.0,0.0,0,0,S4,4
4,0.17888810554124535,0.0,0.0,-0.37255606615044057,0.0,0.0,0.0,0.0,0.0,0.0,0,0,S5,5
5,0.0,0.46683658612178636,0.34710997301185587,0.30020795788043486,0.0,0.0,0.0,0.11732162418617893,0.0,0.36806939397926086,0,0,S6,6
6,0.3380124701779342,-0.4536177730062586,0.47152906789495475,0.12072985483889553,0.0,0.0,0.0,0.3658255780926454,0.23970762562751136,0.0,0,0,S7,7
7,-0.42460203274193165,0.0,0.0,0.0,0.0,0.11732162418617893,0.3658255780926454,0.0,0.3150739479973159,0.0,0,0,S8,8
8,0.33436041480236733,-0.25670938441036273,0.0,0.0,0.0,0.0,0.23970762562751136,0.3150739479973159,0.0,0.0,0,0,S9,9
9,0.40010723363634826,0.0,0.2518773382024456,0.0,0.0,0.36806939397926086,0.0,0.0,0.0,0.0,0,0,S10,10
0,0.0,0.2814284898819853,0.0,0.41383694948852023,0.12526649774598161,-0.1533326980267425,0.11800730441497893,-0.269587895166005,0.0,0.0,1,0,S1,1
1,0.2814284898819853,0.0,0.4891894986090046,0.0,0.4775908865395365,0.4232696149868225,0.0,0.3788086429590797,0.23263219861609113,0.0,1,0,S2,2
2,0.0,0.4891894986090046,0.0,0.0,-0.31867041400236995,0.19611980211431235,0.0,0.0,0.29882520085936626,0.45874981841688733,1,0,S3,3
3,0.41383694948852023,0.0,0.0,0.0,0.0,0.0,0.0,0.3310832069401489,0.0,0.13071740631228784,1,0,S4,4
4,0.12526649774598161,0.4775908865395365,-0.31867041400236995,0.0,0.0,0.0,-0.29842760463713314,0.0,0.0,0.0,1,0,S5,5
5,-0.1533326980267425,0.4232696149868225,0.19611980211431235,0.0,0.0,0.0,0.40765861736836173,0.0,0.23632270346976775,0.0,1,0,S6,6
6,0.11800730441497893,0.0,0.0,0.0,-0.29842760463713314,0.40765861736836173,0.0,0.13147540353105433,0.0,0.0,1,0,S7,7
7,-0.269587895166005,0.3788086429590797,0.0,0.3310832069401489,0.0,0.0,0.13147540353105433,0.0,0.0,0.13378174769267864,1,0,S8,8
8,0.0,0.23263219861609113,0.29882520085936626,0.0,0.0,0.23632270346976775,0.0,0.0,0.0,0.0,1,0,S9,9
9,0.0,0.0,0.45874981841688733,0.13071740631228784,0.0,0.0,0.0,0.13378174769267864,0.0,0.0,1,0,S10,10
