"","R1","R2","R3","repl","d"
"1",0,0.916153846153846,0,0,"HabSubsmpl_25"
"2",0,0,0,0,"HabSubsmpl_25"
"3",0.799230769230769,0,0,0,"HabSubsmpl_25"
"4",0,0,0,0,"HabSubsmpl_25"
"5",0,0,0.842307692307692,0,"HabSubsmpl_25"
"6",0,0,0,0,"HabSubsmpl_25"
"7",0,0,0,0,"HabSubsmpl_25"
"8",0,0.850769230769231,0,0,"HabSubsmpl_25"
"9",0.96,0,0,0,"HabSubsmpl_25"
"10",0,0,0,0,"HabSubsmpl_25"
"11",0.857034346165818,0,0,1,"HabSubsmpl_25"
"12",0,0,0,1,"HabSubsmpl_25"
"13",0,0.920708509924033,0,1,"HabSubsmpl_25"
"14",0,0.929230769230769,0,1,"HabSubsmpl_25"
"15",0,0.895759572478875,0,1,"HabSubsmpl_25"
"16",0,0,0.725748768532433,1,"HabSubsmpl_25"
"17",0,0,0,1,"HabSubsmpl_25"
"18",0,0.921478333092866,0,1,"HabSubsmpl_25"
"19",0.846923076923077,0,0,1,"HabSubsmpl_25"
"20",0,0,0.722669212230316,1,"HabSubsmpl_25"
