,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,repl,err,sp_nms,Ridx
0,0.0,0.5504013114278428,0.38351332024380863,0.5468544596941499,0.29779960475605954,0.8810600971715464,0.7267879725092328,0.18427008870758824,0.36423399104417636,0.13409597123407063,0,0,S1,1
1,0.5504013114278428,0.0,0.2669199419531696,0.05965778355470581,0.272407468268265,0.6216478357632806,0.3191142512463683,0.36614637495242,0.44316375225265997,0.4439503088458542,0,0,S2,2
2,0.38351332024380863,0.2669199419531696,0.0,0.22789392957114543,0.25006126686847047,0.8361330686410948,0.5661697018906915,0.23427723799652178,0.17660699099599073,0.33521865889017494,0,0,S3,3
3,0.5468544596941499,0.05965778355470581,0.22789392957114543,0.0,0.28816388415178396,0.6813005847178613,0.37726345971206793,0.3645465578323649,0.4009893657182082,0.4509715016618432,0,0,S4,4
4,0.29779960475605954,0.272407468268265,0.25006126686847047,0.28816388415178396,0.0,0.6405080720901719,0.43629218592379027,0.1268431204827981,0.37353523121050525,0.17586735652065566,0,0,S5,5
5,0.8810600971715464,0.6216478357632806,0.8361330686410948,0.6813005847178613,0.6405080720901719,0.0,0.31958722721655397,0.7588983379043668,0.9979484137145591,0.7500993021084662,0,0,S6,6
6,0.7267879725092328,0.3191142512463683,0.5661697018906915,0.37726345971206793,0.43629218592379027,0.31958722721655397,0.0,0.5629071351272693,0.7399964729872461,0.5945830073697956,0,0,S7,7
7,0.18427008870758824,0.36614637495242,0.23427723799652178,0.3645465578323649,0.1268431204827981,0.7588983379043668,0.5629071351272693,0.0,0.2960845152018267,0.10099656367423883,0,0,S8,8
8,0.36423399104417636,0.44316375225265997,0.17660699099599073,0.4009893657182082,0.37353523121050525,0.9979484137145591,0.7399964729872461,0.2960845152018267,0.0,0.38003570305376744,0,0,S9,9
9,0.13409597123407063,0.4439503088458542,0.33521865889017494,0.4509715016618432,0.17586735652065566,0.7500993021084662,0.5945830073697956,0.10099656367423883,0.38003570305376744,0.0,0,0,S10,10
0,0.0,0.29328150037427386,0.9932596038706071,0.6456088375417027,0.22646871565383803,0.681488364708984,0.4824078822231236,0.9511996127906894,0.6363346579753882,0.47570858263696336,1,0,S1,1
1,0.29328150037427386,0.0,1.1369258005216778,0.9366649121640463,0.4372663585450162,0.844501463426797,0.2402123765191954,1.1106638616942484,0.8028238488980551,0.23360948870371473,1,0,S2,2
2,0.9932596038706071,1.1369258005216778,0.0,0.8651842238208395,1.161745733423105,0.31288412427508405,1.3768355028324972,0.07422854499739327,0.3581242684833176,1.3703181922222643,1,0,S3,3
3,0.6456088375417027,0.9366649121640463,0.8651842238208395,0.0,0.6247621381675735,0.6386984057500925,1.1195572242970178,0.7932922583033951,0.6135786157083482,1.113135435401369,1,0,S4,4
4,0.22646871565383803,0.4372663585450162,1.161745733423105,0.6247621381675735,0.0,0.8499441431943182,0.5373073753615172,1.1110993189092429,0.8050952081683916,0.5318716721990724,1,0,S5,5
5,0.681488364708984,0.844501463426797,0.31288412427508405,0.6386984057500925,0.8499441431943182,0.0,1.0843951851750122,0.27085512271393297,0.04526370360719152,1.0777088810817241,1,0,S6,6
6,0.4824078822231236,0.2402123765191954,1.3768355028324972,1.1195572242970178,0.5373073753615172,1.0843951851750122,0.0,1.350872014293721,1.0424473077154925,0.006864038771335599,1,0,S7,7
7,0.9511996127906894,1.1106638616942484,0.07422854499739327,0.7932922583033951,1.1110993189092429,0.27085512271393297,1.350872014293721,0.0,0.31551886618890107,1.3442531808577312,1,0,S8,8
8,0.6363346579753882,0.8028238488980551,0.3581242684833176,0.6135786157083482,0.8050952081683916,0.04526370360719152,1.0424473077154925,0.31551886618890107,0.0,1.0357370056806787,1,0,S9,9
9,0.47570858263696336,0.23360948870371473,1.3703181922222643,1.113135435401369,0.5318716721990724,1.0777088810817241,0.006864038771335599,1.3442531808577312,1.0357370056806787,0.0,1,0,S10,10
