"","R1","R2","R3","repl","err","n_nms","Ridx","d"
"10",0.120388786057952,0.055819606348561,0.310200489498441,0,0,"H10",10,"HabSubsmpl_25"
"8",0.308592256777136,0.302472208018229,0.219742969162398,0,0,"H8",8,"HabSubsmpl_25"
"4",0.139094614370556,0.356995850193839,0.39198641255442,0,0,"H4",4,"HabSubsmpl_25"
"7",0.177060711849687,0.146429520647365,0.305234655224192,0,0,"H7",7,"HabSubsmpl_25"
"19",0.238147277011358,0.162638472667462,0.361885487471265,0,0,"H19",19,"HabSubsmpl_25"
"6",0.24287354354054,0.317962105240117,0.217345623290273,0,0,"H6",6,"HabSubsmpl_25"
"21",0.152437704035612,0.467891277914473,0.22455718708901,0,0,"H21",21,"HabSubsmpl_25"
"2",0.264957245847738,0.427749710303664,0.160199690496974,0,0,"H2",2,"HabSubsmpl_25"
"23",0.175569163876455,0.209842590363759,0.217068226059614,0,0,"H23",23,"HabSubsmpl_25"
"25",0.348573841718639,0.197828757979241,0.161606125000813,0,0,"H25",25,"HabSubsmpl_25"
"20",0.140261111532397,0.27801718541818,0.0849735545307899,0,0,"H20",20,"HabSubsmpl_25"
"17",0.254282318584225,0.227525669163213,0.163455778244227,0,0,"H17",17,"HabSubsmpl_25"
"13",0.271180411340408,0.24848391314131,0.412640708758331,0,0,"H13",13,"HabSubsmpl_25"
"11",0.181034602681214,0.292140136522227,0.200238377455832,0,0,"H11",11,"HabSubsmpl_25"
"22",0.32402187606206,0.236508964263224,0.241809894949603,0,0,"H22",22,"HabSubsmpl_25"
"16",0.231262399347222,0.257026545925559,0.305832683715747,0,0,"H16",16,"HabSubsmpl_25"
"24",0.257172953145166,0.363872805512901,0.136356580610812,0,0,"H24",24,"HabSubsmpl_25"
"14",0.0498500971352248,0.242224010013042,0.192013142535397,0,0,"H14",14,"HabSubsmpl_25"
"5",0.259878546920899,0.347365726222456,0.158792497832954,0,0,"H5",5,"HabSubsmpl_25"
"3",0.117323643062552,0.170930027520753,0.206517644940511,0,0,"H3",3,"HabSubsmpl_25"
"12",0.258364644873275,0.110248607828048,0.0818916606518753,0,0,"H12",12,"HabSubsmpl_25"
"9",0.293388140547504,0.31523534199943,0.310797140871429,0,0,"H9",9,"HabSubsmpl_25"
"18",0.284194887272896,0.0845475742953989,0.401138710655615,0,0,"H18",18,"HabSubsmpl_25"
"15",0.383511788591237,0.0834723247619203,0.116214326498429,0,0,"H15",15,"HabSubsmpl_25"
"1",0.206768710077257,0.35004893154698,0.0892176654993437,0,0,"H1",1,"HabSubsmpl_25"
"43",0.185756499885995,0.134975211790894,0.256026362137803,1,0,"H18",18,"HabSubsmpl_25"
"40",0.18145928379166,0.424962994534353,0.274587858128125,1,0,"H15",15,"HabSubsmpl_25"
"44",0.337310664373856,0.2199810426532,0.108843370927525,1,0,"H19",19,"HabSubsmpl_25"
"31",0.239721743953025,0.0915420982147117,0.143374413829122,1,0,"H6",6,"HabSubsmpl_25"
"30",0.12431546333809,0.148553937932604,0.36938366099249,1,0,"H5",5,"HabSubsmpl_25"
"39",0.365368487163208,0.481669223649441,0.0730535754907418,1,0,"H14",14,"HabSubsmpl_25"
"49",0.234059847755829,0.230231833589862,0.233775766747428,1,0,"H24",24,"HabSubsmpl_25"
"33",0.210206398734169,0.172621284063245,0.384067056169282,1,0,"H8",8,"HabSubsmpl_25"
"42",0.259130244112243,0.236380604946568,0.199775621678014,1,0,"H17",17,"HabSubsmpl_25"
"29",0.190973803445678,0.175669631112,0.258684541536962,1,0,"H4",4,"HabSubsmpl_25"
"35",0.167709154310548,0.464492219356953,0.197841457063361,1,0,"H10",10,"HabSubsmpl_25"
"36",0.0947133267514151,0.368842609880651,0.264533446465712,1,0,"H11",11,"HabSubsmpl_25"
"32",0.294442347385284,0.0981256653564315,0.540790449758156,1,0,"H7",7,"HabSubsmpl_25"
"38",0.142769087984614,0.364423824142166,0.251845804292707,1,0,"H13",13,"HabSubsmpl_25"
"37",0.290448725762616,0.228916942015305,0.108062210748689,1,0,"H12",12,"HabSubsmpl_25"
"50",0.357780639393404,0.330864749959095,0.277752719363262,1,0,"H25",25,"HabSubsmpl_25"
"47",0.213587508252177,0.204794704622227,0.0250022283628463,1,0,"H22",22,"HabSubsmpl_25"
"45",0.462687353152634,0.371926053926437,0.21626105352528,1,0,"H20",20,"HabSubsmpl_25"
"27",0.154431392769767,0.169877911325098,0.173876850969803,1,0,"H2",2,"HabSubsmpl_25"
"48",0.373822871217862,0.236686304071367,0.387464967602009,1,0,"H23",23,"HabSubsmpl_25"
"34",0.245664272057982,0.433819606928117,0.166150357112562,1,0,"H9",9,"HabSubsmpl_25"
"46",0.248916600964559,0.203603535126202,0.216414982817451,1,0,"H21",21,"HabSubsmpl_25"
"28",0.374292804511463,0.324098674574643,0.138423923098203,1,0,"H3",3,"HabSubsmpl_25"
"26",0.264170716921753,0.182058286808885,0.0902328045941108,1,0,"H1",1,"HabSubsmpl_25"
"41",0.143123674865123,0.272611328268909,0.251505729609504,1,0,"H16",16,"HabSubsmpl_25"
