,R1,R2,R3,repl,err,rsc_nms,Ridx
0,0.7128278316267936,0.11438458554165942,0.17278758283154694,0,0,S1,1
1,0.1582323453993132,0.36988809020140456,0.47187956439928225,0,0,S2,2
2,0.024708461342374588,0.9744442363925032,0.0008473022651221962,0,0,S3,3
3,0.17866936516815035,0.575398325642042,0.24593230918980769,0,0,S4,4
4,0.26596981873971803,0.08867722652054655,0.6453529547397354,0,0,S5,5
5,0.41246025757643767,0.09707441437129649,0.49046532805226584,0,0,S6,6
6,0.09623420400836147,0.49563693432040473,0.40812886167123374,0,0,S7,7
7,0.0001605012377592363,0.000610480744860114,0.9992290180173806,0,0,S8,8
8,0.0020057151689059083,0.7630592953396682,0.23493498949142588,0,0,S9,9
9,0.4367527915295561,0.2643052668542778,0.29894194161616616,0,0,S10,10
0,0.5754089919799438,0.24962440604816238,0.17496660197189384,1,0,S1,1
1,0.9010193738251902,0.04707424376625085,0.05190638240855905,1,0,S2,2
2,0.13420737085567935,0.6406462346380263,0.22514639450629437,1,0,S3,3
3,0.13292540692289434,0.5280277416565718,0.3390468514205338,1,0,S4,4
4,0.3623249494928463,0.5056729838632396,0.13200206664391412,1,0,S5,5
5,0.18200108223778488,0.033904404665977016,0.7840945130962381,1,0,S6,6
6,0.45634752250872246,0.49065024580048344,0.05300223169079411,1,0,S7,7
7,0.1870054198113369,0.2578634149778929,0.5551311652107702,1,0,S8,8
8,0.22605471284292988,0.5910329946784789,0.1829122924785912,1,0,S9,9
9,0.2956275379748554,0.058421904490237875,0.6459505575349067,1,0,S10,10
