"","N1","N2","correl","cooc","int","euc","euctrim","coocpos","coocneg","intpos","intneg","euctrimpos","euctrimneg","shrd_rsc_pos","shrd_rsc_neg","repl","d"
"11","S1","S2",0.269364661856972,0,0,1.05862488389614,1.05862488389614,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"21","S1","S3",-0.671576585057718,0,0.469907539873673,0.730015625723399,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"22","S2","S3",0.296619863509215,0,0.119685457614115,0.329189289243656,0.329189289243656,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"31","S1","S4",0.479669251071096,0,0,1.13436474183693,1.13436474183693,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"32","S2","S4",-0.205424123823066,0,0.221514863071731,0.146442989722679,0.146442989722679,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"33","S3","S4",-0.681971626471788,0,0.497096661772905,0.423011786900167,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"41","S1","S5",0.0566475039956723,0,0.204857946759595,0.83204553439483,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"42","S2","S5",-0.433846153846154,0,0,0.695419851750068,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"43","S3","S5",-0.424292977301679,0,0.460516241226353,0.571345432868081,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"44","S4","S5",0.826312767737725,0.826312767737725,0.255138078935176,0.649982348697206,0,1,0,0,1,0,0,1,0,0,"HabSubsmpl_25"
"51","S1","S6",-0.101344295109518,0,0.298395018096162,0.332534886196128,0.332534886196128,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"52","S2","S6",0.311961887070961,0,0,0.874029042850571,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"53","S3","S6",0.398119028035145,0,0.129561730262173,0.573914626906125,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"54","S4","S6",-0.380489584069696,0,0,0.914019503348552,0.914019503348552,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"55","S5","S6",-0.346018861642027,0,0,0.504107466568598,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"61","S1","S7",-0.473218604807385,0,0,1.32405642795989,1.32405642795989,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"62","S2","S7",0.213846153846154,0,0,0.444334035438805,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"63","S3","S7",0.467767873808595,0,-0.452763350554806,0.654310965576272,0,0,0,1,0,0,0,0,0,0,"HabSubsmpl_25"
"64","S4","S7",-0.00653971929773805,0,0,0.541173016324877,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"65","S5","S7",0.0746153846153846,0,0,1.13500305525166,1.13500305525166,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"66","S6","S7",-0.175733988786699,0,0.27065315737243,1.2254140263974,1.2254140263974,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"71","S1","S8",0.358221173002832,0,0,1.31713017681411,1.31713017681411,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"72","S2","S8",-0.531278091263333,0,0.180788215154252,0.945111475222633,0.945111475222633,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"73","S3","S8",-0.690555040391457,0,0.452672044180432,0.97225507397032,0.97225507397032,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"74","S4","S8",0.868127101046076,0.868127101046076,0,0.830810676504682,0,1,0,0,0,0,0,1,0,0,"HabSubsmpl_25"
"75","S5","S8",0.853288213438929,0.853288213438929,0,0.491319082773539,0,1,0,0,0,0,0,1,0,0,"HabSubsmpl_25"
"76","S6","S8",-0.387016350178209,0,0.260952534042896,0.985259719144651,0.985259719144651,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"77","S7","S8",-0.265639045631666,0,0,1.37195636433167,1.37195636433167,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"81","S1","S9",-0.541426823904215,0,0.236684086979444,1.05623780472213,1.05623780472213,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"82","S2","S9",-0.328461538461538,0,0.409479031673748,0.390590399288702,0.390590399288702,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"83","S3","S9",0.36375831127939,0,0,0.473723681563748,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
