"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","err","sp_nms","Ridx","d"
"14",0.278673642447143,0.387351609101759,0,0.643976918606106,0,0,0.647340502644813,0.269048358714903,0,0.21145269223156,0,0,"H14",14,"HabSubsmpl_25"
"5",0.406215051458438,0.55493459760007,0,0.906879099068852,0,0,0.966045327431727,0.365534411196829,0,0.267853724281129,0,0,"H5",5,"HabSubsmpl_25"
"18",0.272586998193526,0.316845273266038,0,0.567304494367402,0,0,0.504822061864172,0.293524753406672,0,0.202944303227718,0,0,"H18",18,"HabSubsmpl_25"
"1",0.307497432154796,0.448178754375944,0,0.780970330832875,0,0,0.661946409574118,0.35712428353362,0,0.323807736506691,0,0,"H1",1,"HabSubsmpl_25"
"13",0.289179619408156,0.522763008356477,0,0.758552963838479,0,0,0.982638547445359,0.175084663346099,0,0.169986916919398,0,0,"H13",13,"HabSubsmpl_25"
"6",0.197244480523968,0.345699790106339,0,0.578600731083335,0,0,0.508610661225662,0.227523225135762,0,0.245461826997523,0,0,"H6",6,"HabSubsmpl_25"
"10",0.329394945809879,0.459420258006922,0,0.767831308960296,0,0,0.758642969118871,0.324462266063548,0,0.259171645163815,0,0,"H10",10,"HabSubsmpl_25"
"7",0.209844259258908,0.443244942880762,0,0.720134552043873,0,0,0.642429200637265,0.245629031205162,0,0.317159107005056,0,0,"H7",7,"HabSubsmpl_25"
"20",0.215109867504195,0.375315530695208,0,0.594719111064521,0,0,0.617832321218502,0.199716892457122,0,0.205210457626475,0,0,"H20",20,"HabSubsmpl_25"
"24",0.414743157183102,0.473911026956287,0,0.839172439329232,0,0,0.781529834086966,0.428180556950475,0,0.279873132679102,0,0,"H24",24,"HabSubsmpl_25"
"4",0.284508245433963,0.391387434294244,0,0.689396158379294,0,0,0.582965896362254,0.328012342152459,0,0.280654595459813,0,0,"H4",4,"HabSubsmpl_25"
"17",0.239446897283513,0.490489122885293,0,0.829652263885451,0,0,0.656411718818611,0.321012898341322,0,0.403068182147525,0,0,"H17",17,"HabSubsmpl_25"
"11",0.249992626252737,0.383569987492735,0,0.656226379328547,0,0,0.574179301808407,0.283687156008255,0,0.267931714230473,0,0,"H11",11,"HabSubsmpl_25"
"25",0.248547179005452,0.373327056558873,0,0.629033386275539,0,0,0.583754483294667,0.26418137546536,0,0.238276025099766,0,0,"H25",25,"HabSubsmpl_25"
"9",0.22742035241474,0.386721998967116,0,0.677425974162737,0,0,0.518916610093551,0.299865881958097,0,0.322463120536223,0,0,"H9",9,"HabSubsmpl_25"
"16",0.207332956587458,0.393162209005867,0,0.664471050823235,0,0,0.545680527187542,0.261942768561268,0,0.307196671343073,0,0,"H16",16,"HabSubsmpl_25"
"3",0.289686522886776,0.496463869179961,0,0.803050051500047,0,0,0.79187868916466,0.289293770093691,0,0.295994984718326,0,0,"H3",3,"HabSubsmpl_25"
"19",0.282343142697447,0.417088565920107,0,0.736705952914173,0,0,0.592337283013861,0.345121301949662,0,0.322922835806898,0,0,"H19",19,"HabSubsmpl_25"
"8",0.261082089727976,0.477398528883746,0,0.797761194221594,0,0,0.691266027107588,0.308422139679156,0,0.347623699769943,0,0,"H8",8,"HabSubsmpl_25"
"21",0.326128988509802,0.216329641318449,0,0.467097466586265,0,0,0.358647286572218,0.363268723163393,0,0.147064788589802,0,0,"H21",21,"HabSubsmpl_25"
"2",0.244129917713589,0.353399608084874,0,0.621170426213107,0,0,0.513622767040035,0.289814319563376,0,0.263387758944776,0,0,"H2",2,"HabSubsmpl_25"
"22",0.235571629597618,0.192185757790137,0,0.383301080355588,0,0,0.31478013092406,0.258573505662831,0,0.125897575589045,0,0,"H22",22,"HabSubsmpl_25"
"23",0.192076327422186,0.318910746665014,0,0.551175602069804,0,0,0.447748671238583,0.238249109575017,0,0.248069263141343,0,0,"H23",23,"HabSubsmpl_25"
"12",0.339987599610863,0.460455825128094,0,0.77506496326656,0,0,0.761545231630254,0.336496405433788,0,0.260158286955748,0,0,"H12",12,"HabSubsmpl_25"
"15",0.269705077871498,0.398982143172337,0,0.704636971441062,0,0,0.566335111677998,0.329880366591659,0,0.309114981350628,0,0,"H15",15,"HabSubsmpl_25"
"32",0.387412427021155,0.939370298183706,0,0.171748072529343,0.186849221040941,0,0.127939653136551,0.545371464000494,0,0.723923400752454,1,0,"H7",7,"HabSubsmpl_25"
"34",0.229942361706004,0.618560846444186,0,0.225568951308139,0.197738497706718,0,0.161639691503746,0.367384233053276,0.0141469668842064,0.41635768824903,1,0,"H9",9,"HabSubsmpl_25"
"42",0.432244260363681,0.862650515222795,0,0.0522240579570521,0.279075783708559,0,0.171075117227393,0.495404220230634,0,0.701118482549405,1,0,"H17",17,"HabSubsmpl_25"
"45",0.242007606611187,0.564011065525667,0,0.126404043956778,0.171333261632588,0,0.123022740833862,0.330084524218918,0,0.418371020318046,1,0,"H20",20,"HabSubsmpl_25"
"36",0.418524500846406,0.854741098320719,0,0.162696457008845,0.386335497574588,0,0.269219339759574,0.50043650899428,0,0.634261352158801,1,0,"H11",11,"HabSubsmpl_25"
"43",0.249159528079662,0.485534154834787,0,0.085914365850884,0.247220539899955,0,0.171034613404293,0.284304328920859,0,0.360422063074865,1,0,"H18",18,"HabSubsmpl_25"
"30",0.333295183665789,0.666722866538125,0,0.0272824022085775,0.196661304973939,0,0.116205999837871,0.381652876659374,0,0.549611938715459,1,0,"H5",5,"HabSubsmpl_25"
"44",0.431091578371469,0.820510384882806,0,0.153445171592813,0.45988631962806,0,0.32021676148068,0.481751033779828,0,0.601199578657522,1,0,"H19",19,"HabSubsmpl_25"
"50",0.270529731666731,0.73682813273411,0,0.164085152332398,0.0785999803089684,0,0.0587989461269491,0.428631556738752,0,0.561518863829066,1,0,"H25",25,"HabSubsmpl_25"
"39",0.273301252097932,0.61768545369931,0,0.0997130092201465,0.164633380775116,0,0.110660416866617,0.358421697972765,0,0.477745907717539,1,0,"H14",14,"HabSubsmpl_25"
"38",0.34801215023304,0.695268763452804,0,0.0268671566914938,0.20448026073995,0,0.120436037237758,0.397873893126547,0,0.573911173862604,1,0,"H13",13,"HabSubsmpl_25"
"29",0.418756692093082,0.895299573642813,0,0.0999511067744888,0.253484093154391,0,0.16163658780175,0.516688523970724,0,0.710860184628003,1,0,"H4",4,"HabSubsmpl_25"
"37",0.316968099598503,0.688834809336175,0,0.0401542618970952,0.132008482352547,0,0.0726880217599282,0.393901905683146,0,0.569600382142915,1,0,"H12",12,"HabSubsmpl_25"
"27",0.288978527758088,0.638682815533828,0,0.167231435690805,0.271628950892447,0,0.198613702329943,0.376797997666775,0,0.45527572181887,1,0,"H2",2,"HabSubsmpl_25"
"31",0.280893760686645,0.679552399674422,0,0.176956492468498,0.203961854271902,0,0.151563889196884,0.399365862654384,0,0.493328497206017,1,0,"H6",6,"HabSubsmpl_25"
"46",0.402495306934149,1.01888486993668,0,0.213678158095165,0.181523032891939,0,0.129594679422574,0.593061634582166,0,0.775095960498033,1,0,"H21",21,"HabSubsmpl_25"
"35",0.320839143301216,0.714748919927476,0,0.0843582444404932,0.16567240651063,0,0.104282845177622,0.412169075567289,0,0.569129876359968,1,0,"H10",10,"HabSubsmpl_25"
"33",0.160917581905114,0.297062318056262,0,0.119183699512321,0.292285406681856,0,0.222117053180401,0.178891808762526,0.0368352792122276,0.1696647434844,1,0,"H8",8,"HabSubsmpl_25"
"26",0.463936652351055,1.00971957627401,0,0.0996532007631866,0.243023341061876,0,0.149595109590505,0.581074438374124,0,0.81181261330197,1,0,"H1",1,"HabSubsmpl_25"
"48",0.255285208775205,0.559807613761252,0,0.0530132311768648,0.12581644761624,0,0.0762318600108122,0.321849255597373,0,0.451971325833732,1,0,"H23",23,"HabSubsmpl_25"
"41",0.281327748395861,0.647892897534894,0,0.105789514933801,0.157367985583967,0,0.105592832314313,0.375767149186666,0,0.502102524802737,1,0,"H16",16,"HabSubsmpl_25"
"40",0.455703050971525,0.970537603274329,0,0.131314794672039,0.309419855471009,0,0.204194361194119,0.562297633519721,0,0.756903801950332,1,0,"H15",15,"HabSubsmpl_25"
"49",0.31577114619806,0.520440105691495,0,0.0941260303821476,0.421149460207604,0,0.293102803899013,0.307594438969101,0,0.369848355331821,1,0,"H24",24,"HabSubsmpl_25"
