"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","d"
"1",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"2",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"3",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"4",0,0,0,0,0.826312767737725,0,0,0.868127101046076,0,0.915560701683327,0,"HabSubsmpl_25"
"5",0,0,0,0.826312767737725,0,0,0,0.853288213438929,0,0.713846153846154,0,"HabSubsmpl_25"
"6",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"7",0,0,0,0,0,0,0,0,0.716153846153846,0,0,"HabSubsmpl_25"
"8",0,0,0,0.868127101046076,0.853288213438929,0,0,0,0,0.859465865662921,0,"HabSubsmpl_25"
"9",0,0,0,0,0,0,0.716153846153846,0,0,0,0,"HabSubsmpl_25"
"10",0,0,0,0.915560701683327,0.713846153846154,0,0,0.859465865662921,0,0,0,"HabSubsmpl_25"
"11",0,0,0.807843137254902,0,0,0,-0.820653916507277,0,-0.744810689356516,0,1,"HabSubsmpl_25"
"12",0,0,0,0,0,0,0,0.752307692307692,0,0,1,"HabSubsmpl_25"
"13",0.807843137254902,0,0,0,0,0,-0.708628143777712,0,-0.750890776616569,0.726864897477874,1,"HabSubsmpl_25"
"14",0,0,0,0,0,0,0,0.981538461538462,0,0,1,"HabSubsmpl_25"
"15",0,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"16",0,0,0,0,0,0,0,0,0,0.858461538461538,1,"HabSubsmpl_25"
"17",-0.820653916507277,0,-0.708628143777712,0,0,0,0,0,0.93364110209472,0,1,"HabSubsmpl_25"
"18",0,0.752307692307692,0,0.981538461538462,0,0,0,0,0,0,1,"HabSubsmpl_25"
"19",-0.744810689356516,0,-0.750890776616569,0,0,0,0.93364110209472,0,0,0,1,"HabSubsmpl_25"
"20",0,0,0.726864897477874,0,0,0.858461538461538,0,0,0,0,1,"HabSubsmpl_25"
