"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","d"
"S1",1,0.269364661856972,-0.671576585057718,0.479669251071096,0.0566475039956723,-0.101344295109518,-0.473218604807385,0.358221173002832,-0.541426823904215,0.680540762288145,0,"HabSubsmpl_25"
"S2",0.269364661856972,1,0.296619863509215,-0.205424123823066,-0.433846153846154,0.311961887070961,0.213846153846154,-0.531278091263333,-0.328461538461538,-0.16,0,"HabSubsmpl_25"
"S3",-0.671576585057718,0.296619863509215,1,-0.681971626471788,-0.424292977301679,0.398119028035145,0.467767873808595,-0.690555040391457,0.36375831127939,-0.68459204119752,0,"HabSubsmpl_25"
"S4",0.479669251071096,-0.205424123823066,-0.681971626471788,1,0.826312767737725,-0.380489584069696,-0.00653971929773805,0.868127101046076,0.266974423095894,0.915560701683327,0,"HabSubsmpl_25"
"S5",0.0566475039956723,-0.433846153846154,-0.424292977301679,0.826312767737725,1,-0.346018861642027,0.0746153846153846,0.853288213438929,0.537692307692308,0.713846153846154,0,"HabSubsmpl_25"
"S6",-0.101344295109518,0.311961887070961,0.398119028035145,-0.380489584069696,-0.346018861642027,1,-0.175733988786699,-0.387016350178209,-0.222732613694769,-0.274499215042789,0,"HabSubsmpl_25"
"S7",-0.473218604807385,0.213846153846154,0.467767873808595,-0.00653971929773805,0.0746153846153846,-0.175733988786699,1,-0.265639045631666,0.716153846153846,-0.263076923076923,0,"HabSubsmpl_25"
"S8",0.358221173002832,-0.531278091263333,-0.690555040391457,0.868127101046076,0.853288213438929,-0.387016350178209,-0.265639045631666,1,0.211584588671734,0.859465865662921,0,"HabSubsmpl_25"
"S9",-0.541426823904215,-0.328461538461538,0.36375831127939,0.266974423095894,0.537692307692308,-0.222732613694769,0.716153846153846,0.211584588671734,1,0.0630769230769231,0,"HabSubsmpl_25"
"S10",0.680540762288145,-0.16,-0.68459204119752,0.915560701683327,0.713846153846154,-0.274499215042789,-0.263076923076923,0.859465865662921,0.0630769230769231,1,0,"HabSubsmpl_25"
"S1.1",1,-0.287445974988263,0.807843137254902,-0.227525212830589,0.584414850610374,0.686049305863226,-0.820653916507277,-0.164130783301455,-0.744810689356516,0.640891630034255,1,"HabSubsmpl_25"
"S2.1",-0.287445974988263,1,-0.223183128616265,0.678461538461538,-0.390974068075834,0.191538461538462,0.595384615384615,0.752307692307692,0.663589164035184,0.261538461538462,1,"HabSubsmpl_25"
"S3.1",0.807843137254902,-0.223183128616265,1,-0.38905074560345,0.637473567310526,0.588786619462364,-0.708628143777712,-0.298735393945506,-0.750890776616569,0.726864897477874,1,"HabSubsmpl_25"
"S4.1",-0.227525212830589,0.678461538461538,-0.38905074560345,1,-0.530607663817203,0.339230769230769,0.422307692307692,0.981538461538462,0.642815938030605,0.114615384615385,1,"HabSubsmpl_25"
"S5.1",0.584414850610374,-0.390974068075834,0.637473567310526,-0.530607663817203,1,0.470667388572127,-0.470667388572127,-0.466580551623599,-0.564091988558117,0.446827506372381,1,"HabSubsmpl_25"
"S6.1",0.686049305863226,0.191538461538462,0.588786619462364,0.339230769230769,0.470667388572127,1,-0.446923076923077,0.416923076923077,-0.281977308543646,0.858461538461538,1,"HabSubsmpl_25"
"S7.1",-0.820653916507277,0.595384615384615,-0.708628143777712,0.422307692307692,-0.470667388572127,-0.446923076923077,1,0.398461538461538,0.93364110209472,-0.496153846153846,1,"HabSubsmpl_25"
"S8.1",-0.164130783301455,0.752307692307692,-0.298735393945506,0.981538461538462,-0.466580551623599,0.416923076923077,0.398461538461538,1,0.611656099023735,0.234615384615385,1,"HabSubsmpl_25"
"S9.1",-0.744810689356516,0.663589164035184,-0.750890776616569,0.642815938030605,-0.564091988558117,-0.281977308543646,0.93364110209472,0.611656099023735,1,-0.415464520091594,1,"HabSubsmpl_25"
"S10.1",0.640891630034255,0.261538461538462,0.726864897477874,0.114615384615385,0.446827506372381,0.858461538461538,-0.496153846153846,0.234615384615385,-0.415464520091594,1,1,"HabSubsmpl_25"
