,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,repl,err,n_nms,Ridx
0,0.2622776081970665,0.417448466952277,0.3698047992971392,0.4230739775728992,0.3358126698875569,0.2862047307786872,0.4609128887262603,0.36641760953868946,0.3935456945434945,0.32433873445632955,0,0,H1,1
1,0.26044038936745634,0.2779726421100391,0.2723145290163061,0.2808044702124667,0.2780057504402545,0.26736085164741763,0.2762034815737825,0.2880749166682521,0.2817731621006455,0.2720599441348496,0,0,H2,2
2,0.18103760082310458,0.25256539393118643,0.22804604935324124,0.2755822666197518,0.3010186452117617,0.23128317244721205,0.21047961151789016,0.3766072677658284,0.302005148704841,0.25249251269442136,0,0,H3,3
3,0.1496837347968605,0.10225623699464223,0.11722808750347198,0.001,0.11341706661105595,0.13608796941162205,0.001,0.001,0.001,0.1238507276714405,0,0,H4,4
4,0.1930273798359988,0.161144818259152,0.1700682689986732,0.16690300129095204,0.2070603952123427,0.20138695261459633,0.13118440931110184,0.2215852055014663,0.18652290366936078,0.1947808688411973,0,0,H5,5
5,0.36197346765976596,0.20208072412451863,0.25249624821078986,0.18572617188562093,0.24170028735662108,0.3170458459218518,0.18940664876925722,0.17838204270966798,0.19545765779813656,0.2758743874629565,0,0,H6,6
6,0.1318486033275849,0.21230881174949165,0.18772634884470224,0.21425115350421176,0.165870484877968,0.1423840318615651,0.23781073598517083,0.1788060451313507,0.19702949071088416,0.1619842493892805,0,0,H7,7
7,0.3291882877313415,0.22336844228297614,0.2558875287528303,0.21930723114133616,0.2780927971110464,0.31243927060474586,0.19441150136355917,0.25654467149309035,0.2390034914279941,0.28639354593633054,0,0,H8,8
8,0.3134651876573277,0.24584161595079088,0.26670032672217686,0.24262682463763843,0.2782017776516929,0.30157231160948406,0.22922112237711545,0.2625667163296105,0.25399927861354965,0.2848178017349668,0,0,H9,9
9,0.2775796804089046,0.286220461985876,0.2828000574628859,0.2926616730486169,0.3075032964455288,0.2906785017164335,0.2700019096419504,0.3276543338153046,0.3030292901052962,0.2938914741212359,0,0,H10,10
10,0.23236712213908728,0.26290443260866075,0.25410671107605753,0.25939198549355064,0.22736773652414985,0.2282058496612789,0.2855090131931698,0.21948467870776917,0.24452573433778366,0.23488926009703143,0,0,H11,11
11,0.30616275706540996,0.20158211254973213,0.2351290274220671,0.18631906821671562,0.2082504266398417,0.2680096530635687,0.2071806388272486,0.15309094100381057,0.1837337882089994,0.2402689632609763,0,0,H12,12
